"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20239,5322,241,216,553,2780,216,2305,-,2817,241,25,58,42,474,4889,58,-,17842,4397,261,317,722,2271,202,1825,-,2659,189,20,85,33,384,4414,62,-,18858,4687,394,631,788,2376,282,1920,-,3346,186,115,263,32,404,3213,221,-,21521,4894,591,1069,864,2388,375,2044,-,3864,181,269,488,31,470,3606,388,-,23147,4885,713,1625,949,2389,416,2003,15,4304,172,315,660,30,522,3691,458,-,49254,5073,811,2089,1131,2550,22760,2027,50,5820,139,421,1049,31,625,4092,585,-,58746,6050,1107,2349,1570,3227,23928,2183,70,8495,270,617,1585,630,1321,4185,967,191,70750,7219,2342,2837,2965,4284,25160,1418,72,10500,615,843,1978,1256,2170,4509,2193,390,79942,8082,3265,3403,4458,4616,25026,1392,70,12444,865,1002,2416,1759,2487,5069,3205,383
"신·재생에너지 지역별 발전비중 (%)",소계,소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,0.95,0.80,0.40,3.47,0.23,0.09,2.17,0.11,7.06,5.98,2.83,22.55,3.65,13.60,26.32,6.77,3.02,100.00,1.18,0.72,0.39,2.34,0.32,0.08,1.70,0.10,5.00,4.10,1.77,17.83,3.38,29.76,21.57,5.74,4.03,100.00,1.07,0.65,0.40,2.38,0.32,0.09,2.18,0.14,5.21,4.45,2.67,18.91,3.90,27.39,21.12,4.72,4.40,100.00,1.28,0.96,0.35,1.37,0.34,0.10,2.39,0.13,4.81,5.94,2.36,19.31,7.41,26.48,20.00,3.60,3.19,100.00,1.21,1.07,0.37,1.39,0.39,0.13,2.50,0.18,5.66,6.55,2.81,18.98,9.52,23.56,18.88,3.32,3.49,100.00,1.19,1.06,0.41,2.10,0.51,0.21,2.19,0.20,6.42,7.16,2.87,17.22,11.42,20.31,17.67,3.74,5.32,100.00,1.50,1.08,0.53,3.42,0.73,0.29,2.19,0.36,9.65,11.26,5.00,17.00,15.86,11.45,8.57,5.36,5.75,100.00,1.54,1.22,0.50,3.99,0.68,0.29,1.78,0.34,9.34,11.63,4.39,16.76,16.43,12.16,8.67,5.02,5.26,100.00,1.25,1.20,0.51,3.31,0.82,0.39,1.19,0.29,9.12,11.21,4.82,15.62,17.97,12.95,9.20,4.96,5.19
"① 재생에너지",태양광 (MWh),소계,소계,1103227,25710,11985,10948,14874,18012,7821,7407,53997,39008,44365,77763,177234,298001,201832,100234,14035,1605182,31263,55100,19994,22089,25412,12393,9639,425,80132,50036,62955,106297,275384,435203,243945,152886,22030,2556299,53021,68826,34871,38193,39232,22237,14006,7812,157574,137016,105491,183928,448670,669188,293314,234819,48102,3979158,74994,91376,49819,51238,85668,28604,21932,22453,233215,189132,168596,367688,724840,1017949,424086,334106,93462,5122441,86829,97528,61667,58627,99254,33987,24438,33763,298089,241720,234281,576116,935831,1267413,565179,395271,112449,7056219,105789,117514,76128,84845,133391,43066,39042,39496,400164,384631,360665,830746,1203832,1684211,836810,545261,170627,10154964,161941,161433,109238,126232,187934,65877,75098,59810,752791,701797,554732,1192135,1644913,2098429,1223261,811509,227832,14192911,200569,195180,144052,159073,250572,80403,95105,69222,1085862,1055609,803035,1735476,2340375,2771005,1712302,1130759,364312,19337964,228302,227625,170703,190865,292567,92382,124484,85394,1441434,1408461,1115632,2479172,3241991,3972969,2317698,1457496,490790,24717623,244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330,30726260,290528,324351,253577,258249,390494,135265,177458,112270,2133592,2181578,1711676,3693682,5534009,6376158,4085780,2279853,787739
"① 재생에너지",태양광 (MWh),사업용,소계,852602,5731,4124,1925,5298,7542,1295,1377,15507,27464,22462,60224,162729,276307,185079,67282,8256,1302158,9432,46712,9431,10581,13786,5018,3072,51,36812,36000,35717,85491,245348,409921,224526,116163,14097,2132582,20116,57412,20340,20267,24095,10266,4352,6039,95797,115123,64700,153592,422817,630639,265977,185255,35794,3464576,30130,77165,33150,29268,69023,13767,9649,17033,157110,162639,118903,333561,694216,972810,390448,276757,78947,4491036,32413,78672,40559,32602,80588,16864,11455,26000,201688,208091,171885,532970,899409,1214806,523069,325784,94180,6220719,35155,90945,47831,49174,110191,20691,21206,27112,269729,338972,279003,772788,1155966,1617164,780862,457063,146867,8219173,38362,98890,58726,65488,142049,26893,36745,38657,440041,587855,398513,1045283,1504188,1908938,1066442,582716,179389,11759577,39190,116829,82179,81892,195597,31915,47753,43967,687554,911118,605671,1547863,2162670,2536757,1519137,848985,300499,16452484,43583,136752,99896,99094,229524,36864,70432,56631,977658,1233622,875883,2244663,3020066,3693137,2083240,1137923,413516,21444281,47615,167763,121912,115479,251906,42482,89913,62600,1247867,1627844,1139536,2820507,3973898,4881180,2802470,1463435,587874,26682924,52124,203830,154257,125697,300547,52470,108421,73232,1492491,1931527,1389816,3345851,5211344,5991772,3732454,1837387,679703
"① 재생에너지",태양광 (MWh),자가용,소계,250625,19979,7861,9023,9576,10470,6526,6030,38490,11544,21903,17539,14505,21694,16753,32952,5779,303024,21830,8388,10563,11507,11626,7375,6567,375,43320,14036,27238,20806,30036,25282,19419,36723,7933,423718,32905,11414,14531,17926,15137,11972,9654,1773,61777,21892,40790,30336,25853,38550,27337,49565,12308,514583,44864,14212,16669,21970,16645,14837,12283,5420,76105,26493,49693,34126,30623,45139,33638,57350,14515,631406,54415,18855,21108,26025,18666,17122,12983,7763,96401,33630,62395,43146,36423,52607,42110,69486,18269,835500,70635,26569,28297,35670,23200,22376,17836,12384,130436,45659,81663,57957,47865,67047,55948,88198,23760,1935790,123580,62544,50512,60744,45886,38984,38353,21154,312750,113943,156219,146852,140725,189491,156819,228794,48443,2433335,161379,78351,61873,77181,54976,48488,47353,25255,398308,144491,197363,187612,177705,234248,193165,281774,63813,2885480,184719,90873,70807,91770,63043,55518,54052,28763,463776,174839,239749,234509,221925,279832,234458,319574,77274,3273342,197189,101087,81502,106624,71499,65276,57786,31625,516955,203396,267867,274472,257510,317285,274492,360321,88456,4043336,238404,120521,99320,132552,89947,82795,69037,39038,641101,250051,321861,347831,322665,384385,353326,442466,108036
"① 재생에너지",풍력 (MWh),소계,소계,912760,177,421,12,31629,2,350,3609,6156,354347,14,22,11818,8377,288186,7408,200237,1148179,177,480,12,43533,2,350,2646,-,5618,467882,14,22,13508,26120,333286,7369,247161,1145556,177,526,18,47869,2,350,2645,-,5337,395137,14,22,11428,117352,292021,25515,247144,1342439,189,500,25,51869,2,374,2103,-,5714,397264,15,24,16395,160269,330704,28804,348188,1683142,188,540,25,48720,2,372,2609,-,5372,442635,15,1029,20494,236615,401733,56660,466133,2169014,202,403,27,51828,2,400,2294,-,5664,642665,16,2972,23135,306792,515380,79242,537994,2464879,209,513,28,42941,2,413,2476,-,5145,691429,17,3025,20660,352678,730469,78308,536566,2679248,191,341,25,43837,2,377,2287,-,4839,685508,26,2672,50718,488837,774049,75594,549944,3149948,204,253,26,52828,2,398,1514,-,5637,782333,28,3001,131208,576232,944038,74184,578062,3180017,198,67,25,39490,5,379,1745,-,4680,947359,49,2047,145910,525511,914994,68197,529363,3369458,202,69,26,38774,8,386,250,-,4495,954664,73,2133,161686,585571,913760,133380,573980
"① 재생에너지",풍력 (MWh),사업용,소계,908447,-,402,-,31625,-,-,3597,6111,352800,-,-,11802,7431,287503,7286,199893,1143549,-,461,-,43529,-,-,2634,-,5573,466335,-,-,13487,24906,332602,7247,246775,1138496,-,489,-,47866,-,-,2633,-,5291,393590,-,-,11401,115197,291336,24079,246612,1331877,-,404,-,51791,-,-,2091,-,5665,395575,-,-,16361,157428,329973,27235,345354,1672764,-,444,-,48642,-,-,2596,-,5324,440953,-,996,20460,233740,401005,55134,463468,2158913,-,298,-,51691,-,-,2281,-,5612,640828,-,2924,23099,303653,514599,77602,536328,2454329,-,401,-,42745,-,-,2462,-,5091,689450,-,2972,20623,349435,729661,76611,534877,2669463,-,239,-,43658,-,-,2275,-,4785,683585,-,2617,50689,485876,773311,74042,548385,3139475,-,146,-,52639,-,-,1500,-,5573,780223,-,2934,131169,573109,943247,72537,576396,3169833,-,4,-,39272,-,-,1730,-,4609,945255,-,1976,145862,522524,914218,66617,527766,3358850,-,5,-,38511,-,-,232,-,4418,952472,-,2021,161631,582492,912960,131769,572340
"① 재생에너지",풍력 (MWh),자가용,소계,4313,177,19,12,4,2,350,12,45,1547,14,22,16,946,683,122,344,4630,177,19,12,4,2,350,12,-,45,1547,14,22,21,1214,685,122,386,7061,177,37,18,4,2,350,12,-,46,1547,14,22,26,2155,685,1436,532,10562,189,96,25,78,2,374,12,-,49,1689,15,24,34,2841,731,1569,2834,10378,188,96,25,78,2,372,12,-,48,1682,15,33,34,2875,728,1526,2664,10101,202,105,27,137,2,400,13,-,52,1837,16,48,36,3139,782,1639,1666,10550,209,111,28,196,2,413,14,-,54,1979,17,53,37,3243,808,1697,1689,9785,191,102,25,179,2,377,12,-,55,1924,26,54,28,2960,737,1552,1559,10474,204,107,26,189,2,398,13,-,64,2110,28,67,39,3123,791,1647,1666,10184,198,62,25,218,5,379,15,-,71,2104,49,71,48,2987,776,1580,1596,10608,202,63,26,263,8,386,19,-,76,2192,73,112,55,3079,801,1611,1641
"① 재생에너지",수력 (MWh),소계,소계,3862087,-,27,8781,24856,2025,-,1965,797900,857193,1037100,89820,348728,123289,262913,307049,442,4228112,-,313,17470,26729,3397,-,1646,-,1004478,1094541,1004001,107582,209748,128372,269326,360069,440,2753925,1136,178,17208,35139,4416,548,490,10117,529406,612574,592308,89439,238530,133239,226892,260973,1333,2150013,1426,59,14494,40907,6067,553,1779,10007,372878,404506,359163,96996,229366,112093,212437,286150,1131,2858714,1492,102,15911,43418,8452,340,912,8041,568325,669374,625112,81840,191798,130429,227980,283193,1993,2819882,1213,57,5379,45095,9092,553,935,6529,550031,820037,661291,79376,172278,66976,213047,185484,2511,3374375,1107,87,4031,35170,7931,342,877,1,707774,964593,862168,76778,219193,77965,233370,180669,2320,2791076,1753,101,3751,39953,7105,245,1323,-,566631,708305,628407,76824,231799,94430,237721,189868,2861,3879383,1112,93,12951,39579,7795,241,1457,-,649895,1062271,1010026,61599,285784,114120,319014,310046,3399,3057210,618,41,14518,41096,8230,257,1144,-,633233,713162,731058,57296,238930,86132,292238,236059,3198,3544866,379,244,14966,30288,6269,122,437,-,717533,1169315,824421,52379,212888,56039,238520,218238,2829
"① 재생에너지",수력 (MWh),사업용,소계,3860364,-,-,8781,24856,2025,-,1965,796624,857193,1037100,89756,348728,123289,262913,307049,86,4222822,-,8,17470,25088,3397,-,1646,-,1002781,1092996,1004001,107531,209748,128372,269326,360064,393,2748254,1136,25,17208,34208,4416,-,490,10117,527482,611053,592291,89338,238530,133239,226892,260968,862,2142922,1426,27,14494,40333,6067,-,1779,10007,371493,403244,359147,96872,229366,112093,209672,286146,755,2855819,1492,36,15911,42852,8452,-,912,8041,566835,669374,625096,81794,191798,130429,227980,283193,1622,2816419,1213,16,5379,44232,9092,-,935,6529,548459,820037,661278,79322,172278,66976,213047,185484,2142,3371552,1107,30,4031,34599,7931,-,877,1,706387,964593,862164,76688,219193,77965,233370,180669,1949,2788609,1753,31,3751,39663,7105,-,1323,-,565136,708305,628399,76773,231799,94430,237721,189868,2553,3877175,1112,38,12951,39546,7795,-,1457,-,648370,1062271,1010026,61499,285784,114120,319014,310046,3145,3054616,618,35,14518,40391,8230,-,1144,-,631891,713162,731058,57229,238930,86132,292238,236059,2981,3541073,379,32,14966,28438,6269,-,437,-,716126,1169315,824421,52367,212888,56039,238520,218238,2638
