지역,건물,수송,발전,계(발전제외),총계,산업
계,2823334,2777892,50598888,104345064,162357441,104233378
서울,1047532,941563,X,2337902,X,377290
부산,188083,333798,1177414,1258374,X,738556
대구,76886,70141,-,1099122,1211986,1056328
인천,146973,121324,9254886,4977049,14654026,4653756
광주,40917,27820,-,386334,410061,336299
대전,190112,335642,-,905867,930373,396631
울산,25187,43543,1350386,11520810,X,11609861
세종,12032,-,X,179980,X,175291
경기,668890,475177,1542935,17869029,21441502,18215915
강원,110581,32544,3002434,4665238,8057999,4390806
충북,48919,51411,-,3276264,3333840,3231346
충남,43198,35013,22372751,16912932,38891705,16637546
전북,38365,46821,363314,2956687,X,3098024
전남,24146,74994,1918982,22581019,26149345,24145695
경북,54722,71605,498944,11603276,12123634,11576772
경남,82444,83915,7229404,1742039,10960519,3575757
제주,24347,32581,340222,73142,461836,17507
