용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,474848580,46555105,20364705,15080052,22673441,8274074,9225140,29992969,2345527,102227067,15794741,21665043,45466812,21708655,30302068,45444247,33530619,4094900,103415
가정용,63970473,13319847,4437009,3076642,3643784,1850640,1856172,1445229,157398,15554163,1885497,1915496,2448583,2282596,2206805,3177243,4055225,658131,13
공공용,21982157,3678016,1211194,720295,907600,508170,994017,416334,158417,5265656,1227319,1157096,1026569,905862,848671,1416472,1287147,250462,2860
서비스업,132054877,27462677,7330290,5308713,6281839,3031697,3758077,3675815,476738,29980799,5947614,4536270,6399261,4696897,5070480,8116028,8175464,1798799,7419
농림어업,13061606,13887,93161,67041,103997,70262,25826,80826,65814,2087187,465744,583998,1602407,1076552,2438191,1412155,1701768,1172790,0
광업,1478042,2715,20557,3874,70069,1939,2350,20051,18440,236524,347751,110890,255449,68120,64730,172737,74589,7083,174
제조업,242301428,2077962,7272494,5903488,11666153,2811367,2588699,24354713,1468720,49102739,5920815,13361293,33734544,12678628,19673192,31149611,18236426,207635,92949
