"에너지원별(1)",에너지원별(2),에너지원별(3),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",풍력 (toe),소계,192674,41,89,3,6674,-,81,762,1299,74797,3,5,2494,1785,60820,1565,42256,242354,41,102,3,9185,0,81,558,-,1186,98752,3,5,2851,5534,70336,1557,52158,241847,41,112,4,10101,0,81,558,-,1127,83403,3,5,2412,24802,61629,5411,52157,283455,43,107,6,10946,0,86,444,-,1206,83855,4,6,3460,33870,69792,6108,73522,355340,43,116,6,10281,0,86,551,-,1135,93428,3,218,4325,49980,84780,11984,98405,462162,46,87,6,11042,0,92,489,-,1207,136917,4,634,4928,65397,109789,16905,114619,525188,48,111,6,9150,0,95,528,-,1097,147306,4,645,4401,75172,155603,16707,114315,570836,44,74,6,9340,0,86,487,-,1032,146044,6,570,10803,104170,164884,16126,117163,671107,47,56,6,11255,0,91,323,-,1202,166671,6,640,27948,122787,201093,15828,123154,677507,45,15,6,8415,1,87,372,-,998,201821,11,437,31080,111982,194906,14551,112780,717864,46,16,6,8263,2,88,54,-,959,203379,17,456,34440,124776,194644,28436,122284
"① 재생에너지",풍력 (toe),사업용,191682,-,85,-,6673,-,-,759,1289,74441,-,-,2490,1568,60663,1537,42177,241289,-,97,-,9185,-,-,556,-,1176,98397,-,-,2846,5255,70179,1529,52070,240223,-,103,-,10100,-,-,556,-,1116,83047,-,-,2406,24307,61472,5081,52035,281026,-,85,-,10928,-,-,441,-,1195,83467,-,-,3452,33217,69624,5747,72870,352953,-,94,-,10263,-,-,548,-,1123,93041,-,210,4317,49319,84612,11633,97792,459848,-,63,-,11010,-,-,486,-,1195,136496,-,623,4920,64678,109609,16529,114238,522772,-,86,-,9105,-,-,524,-,1084,146853,-,633,4393,74430,155418,16318,113929,568596,-,51,-,9299,-,-,485,-,1019,145604,-,557,10797,103492,164715,15771,116806,668708,-,31,-,11212,-,-,320,-,1187,166188,-,625,27939,122072,200912,15450,122772,675174,-,1,-,8365,-,-,368,-,982,201339,-,421,31069,111298,194728,14189,112414,715435,-,1,-,8203,-,-,49,-,941,202876,-,430,34427,124071,194460,28067,121908
"① 재생에너지",풍력 (toe),자가용,992,41,4,3,1,0,81,3,10,356,3,5,4,217,157,28,79,1065,41,4,3,1,0,81,3,-,10,356,3,5,5,279,157,28,89,1624,41,9,4,1,0,81,3,-,10,356,3,5,6,496,157,330,122,2429,43,22,6,18,0,86,3,-,11,388,4,6,8,653,168,361,652,2387,43,22,6,18,0,86,3,-,11,387,3,8,8,661,167,351,613,2313,46,24,6,31,0,92,3,-,12,421,4,11,8,719,179,375,381,2416,48,26,6,45,0,95,3,-,12,453,4,12,9,743,185,389,387,2241,44,23,6,41,0,86,3,-,13,441,6,12,6,678,169,355,357,2398,47,25,6,43,0,91,3,-,15,483,6,15,9,715,181,377,381,2332,45,14,6,50,1,87,4,-,16,482,11,16,11,684,178,362,366,2429,46,15,6,60,2,88,4,-,18,502,17,26,13,705,183,369,376
"① 재생에너지",수력 (toe),소계,814933,-,6,1853,5245,427,-,415,168382,180868,218828,18954,73582,26014,55475,64787,100,892232,-,72,3686,5671,717,-,347,-,211977,230977,211844,22701,44257,27086,56828,75975,94,581186,240,41,3631,7432,932,126,103,2135,111741,129282,124977,18874,50330,28113,47874,55065,290,453787,301,13,3058,8642,1280,127,376,2112,78703,85373,75784,20469,48396,23652,44877,60378,246,603244,315,23,3357,9172,1783,78,193,1697,119945,141238,131899,17269,40469,27520,48104,59754,428,600690,258,13,1146,9619,1937,127,199,1391,117182,174668,140855,16908,36695,14266,45379,39508,541,718787,236,19,859,7500,1689,78,187,0,150778,205458,183642,16355,46688,16607,49708,38482,500,594539,373,23,799,8515,1513,56,282,-,120716,150869,133851,16364,49373,20114,50635,40442,614,826344,237,21,2759,8431,1660,55,310,-,138452,226264,215136,13122,60872,24308,67950,66040,728,651227,132,9,3092,8765,1753,59,244,-,134900,151904,155715,12205,50892,18346,62247,50280,685,755117,81,55,3188,6481,1335,28,93,-,152857,249064,175602,11157,45345,11936,50805,46485,606
"① 재생에너지",수력 (toe),사업용,814537,-,-,1853,5245,427,-,415,168088,180868,218828,18939,73582,26014,55475,64787,18,891015,-,2,3686,5294,717,-,347,-,211587,230622,211844,22689,44257,27086,56828,75974,83,579882,240,5,3631,7218,932,-,103,2135,111299,128932,124973,18850,50330,28113,47874,55064,182,452157,301,6,3058,8510,1280,-,376,2112,78385,85084,75780,20440,48396,23652,44241,60377,159,602578,315,8,3357,9042,1783,-,193,1697,119602,141238,131895,17258,40469,27520,48104,59754,342,599897,258,3,1146,9421,1937,-,199,1391,116822,174668,140852,16896,36695,14266,45379,39508,456,718140,236,6,859,7370,1689,-,187,0,150460,205458,183641,16334,46688,16607,49708,38482,415,593974,373,7,799,8448,1513,-,282,-,120374,150869,133849,16353,49373,20114,50635,40442,544,825838,237,8,2759,8423,1660,-,310,-,138103,226264,215136,13099,60872,24308,67950,66040,670,650633,132,7,3092,8603,1753,-,244,-,134593,151904,155715,12190,50892,18346,62247,50280,635,754249,81,7,3188,6057,1335,-,93,-,152535,249064,175602,11154,45345,11936,50805,46485,562
"① 재생에너지",수력 (toe),자가용,396,-,6,-,-,-,-,-,294,-,-,15,-,-,-,-,82,1217,-,70,-,377,-,-,-,-,390,355,-,12,-,-,-,1,11,1304,-,35,-,214,-,126,-,-,442,350,4,23,-,-,-,1,108,1630,-,7,-,132,-,127,-,-,318,289,4,29,-,-,636,1,87,666,-,15,-,130,-,78,-,-,343,-,4,11,-,-,-,-,85,793,-,9,-,198,-,127,-,-,360,-,3,12,-,-,-,-,85,647,-,13,-,131,-,78,-,-,318,-,1,21,-,-,-,-,85,565,-,16,-,66,-,56,-,-,343,-,2,12,-,-,-,-,70,506,-,13,-,8,-,55,-,-,349,-,-,23,-,-,-,-,58,594,-,1,-,161,-,59,-,-,307,-,-,15,-,-,-,-,50,869,-,48,-,424,-,28,-,-,322,-,-,3,-,-,-,-,44
"① 재생에너지",해양 (toe),소계,98310,-,-,-,-,-,-,-,98310,-,-,-,-,-,-,-,-,102077,-,-,-,-,-,-,-,-,102077,-,-,-,-,-,-,-,-,103848,-,-,-,-,-,-,-,-,103848,-,-,-,-,-,-,-,-,104731,-,-,-,-,-,-,-,-,104731,-,-,-,-,-,-,-,-,104562,-,-,-,-,-,-,-,-,104562,-,-,-,-,-,-,-,-,104256,-,-,-,-,-,-,-,-,104256,-,-,-,-,-,-,-,-,103380,-,-,-,-,-,-,-,-,103380,-,-,-,-,-,-,-,-,101030,-,-,-,-,-,-,-,-,101030,-,-,-,-,-,-,-,0,97397,-,-,-,-,-,-,-,-,97396,-,-,-,-,-,-,-,1,96911,-,-,-,-,-,-,-,-,96907,-,-,-,-,3,-,-,1,90279,-,-,-,-,-,-,-,-,90278,-,-,-,-,1,-,-,0
"① 재생에너지",지열 (toe),소계,65277,5132,974,1803,1588,1914,1448,662,16071,5877,2980,5576,5830,6000,3700,5129,594,86959,6191,1140,2336,2293,2252,1774,848,249,21470,7906,3825,8019,8318,7977,4738,6487,1134,108472,7250,1263,3244,3180,2611,2103,1583,1098,25951,9410,4861,9907,11438,9432,5862,7921,1358,135046,8790,1495,4564,3892,3015,2537,2661,5615,29830,11041,5634,10008,15077,11547,8100,9710,1531,162047,9906,1886,5470,4429,3267,3229,3265,8209,34841,13629,7164,11971,17949,13300,10301,11590,1642,183922,11270,2328,5927,5544,3403,3857,3460,10305,39759,15605,8777,14133,19041,14542,11815,12515,1642,205464,13334,2674,6267,6784,3459,4353,3730,12874,44029,17057,10046,16549,19398,15556,14290,13358,1706,224698,15002,2896,6875,7788,3593,4909,4023,14024,48634,18242,11158,18995,20266,15950,16192,14380,1771,240933,16451,2980,7441,8483,3753,5281,4196,14910,52494,19691,12166,20659,21015,17203,17327,15113,1771,255590,17900,3104,8395,8666,3835,5807,4414,15683,55341,21462,13116,21792,21717,18687,18454,15448,1771,279650,20070,3610,9877,9912,3914,7025,4839,16258,60038,24057,14148,24069,23817,19374,20559,16312,1771
"① 재생에너지",수열 (toe),소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4791,-,-,-,12,-,-,-,-,-,106,-,129,83,2319,67,928,1146,5989,-,-,-,12,-,-,-,-,-,123,-,291,99,3267,79,972,1146,7941,-,23,-,95,-,-,-,-,-,135,-,713,253,4143,102,1292,1184,14725,-,23,-,95,-,-,-,-,-,638,-,1382,533,7819,140,2392,1702,21398,-,23,-,130,-,-,-,-,8,643,-,1690,756,11954,572,3821,1800,23647,-,46,-,157,-,-,-,-,8,661,5,1814,804,13564,587,4159,1844,24756,18,46,-,157,-,-,-,-,19,684,5,1909,841,14078,661,4412,1927,26543,18,73,-,157,-,-,17,-,97,709,15,1979,904,15175,739,4706,1955
"① 재생에너지",바이오 (toe),소계,1334724,36658,15712,80617,156465,5722,5092,469740,172298,23118,23799,41773,103456,102877,54317,38896,4185,1558492,46236,18240,55051,158877,14437,8099,506379,1453,123015,46803,26264,79575,139881,133549,55469,141042,4123,2821995,98477,35852,104307,300434,30949,23869,362643,12055,398117,140765,36766,286438,214750,90367,48421,501631,136154,2765657,94097,41199,90261,440688,21341,20824,292787,3211,295169,159357,49058,366255,152083,98746,68560,319036,252987,2765453,79517,41391,79519,264265,20710,26744,302205,6547,328104,121410,48326,456444,167233,179621,55552,303223,284642,3598782,77003,42701,81695,166852,29256,35751,357375,23832,344244,393537,136060,542050,643178,109595,140595,272057,203002,4442376,97562,61263,89634,187703,28716,38247,400517,27693,434293,418248,143554,574765,940392,237545,159312,317709,285224,4162427,96475,60785,78213,195001,25767,29072,350446,21935,416837,326825,66575,550667,973153,200844,115780,209381,444671,3899174,91892,57336,77835,166108,25826,28511,372251,24117,444247,397513,97780,543873,900217,73455,94521,169316,334375,4263576,81856,51370,103172,153890,20475,26553,355707,30497,426130,539973,62300,680646,1053063,71578,96082,164483,345800,4372872,89647,58160,73361,167582,22761,25098,286450,35240,431014,481691,71941,767937,1178969,83502,102072,124747,372699
