지역,건물,수송,발전,계(발전제외),총계,산업
계,2491878,3241970,60343974,95724167,161781939,92656192
서울,1043136,1106552,X,X,2662272,336178
부산,155880,341589,1066678,1229613,2676683,756390
대구,65552,109350,-,1272745,1331104,1142533
인천,118428,111547,12375703,4433739,16872197,4189498
광주,44634,49136,-,446765,434046,340023
대전,175366,400405,-,964900,986728,401348
울산,19406,47954,X,X,12524581,10176829
세종,9016,-,X,X,669640,151144
경기,488677,600285,2400985,12920582,16579835,12610302
강원,104424,36199,1475581,2851553,4899104,2935737
충북,43919,48192,-,2859920,3058978,2954434
충남,47495,25259,24137120,16198532,40701915,16556650
전북,39772,76485,X,X,4083519,3440926
전남,13115,56416,1730036,23319438,25705296,23011659
경북,50349,62396,498676,11817533,12586222,11857803
경남,54607,83777,13444893,1907141,15410431,1783935
제주,18101,86426,473993,116932,599390,10802
