에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),434781,262619,163394,966861,130526,35050,887319,57245,2119851,1809446,1085464,7686273,1584559,11135415,8587810,1920144,1789046,46623321
① 재생에너지 합,254460,232292,111739,853899,128149,34768,868598,57245,1528856,1809260,1085349,7301312,1582625,11017456,8576742,1919923,1789046,43868299
② 신에너지 합,180321,30327,51655,112962,2376,282,18721,0,590994,186,115,384961,1933,117960,11068,221,0,2755022
신·재생에너지 지역별 발전비중 (%),1.07,0.65,0.40,2.38,0.32,0.09,2.18,0.14,5.21,4.45,2.67,18.91,3.90,27.39,21.12,4.72,4.40,100.00
태양광 (MWh),86829,97528,61667,58627,99254,33987,24438,33763,298089,241720,234281,576116,935831,1267413,565179,395271,112449,7056219
풍력 (MWh),188,540,25,48720,2,372,2609,0,5372,442635,15,1029,20494,236615,401733,56660,466133,2169014
수력 (MWh),1492,102,15911,43418,8452,340,912,8041,568325,669374,625112,81840,191798,130429,227980,283193,1993,2819882
해양 (MWh),0,0,0,0,0,0,0,0,495556,0,0,0,0,0,0,0,0,489466
바이오 (MWh),44648,14618,22702,647645,6180,70,520289,7089,58033,407425,9257,1802427,295318,59369,2292,1138980,1201221,7466664
폐기물 (MWh),121304,119505,11434,55489,14261,0,320350,8352,103482,48105,216684,4839900,139183,9323629,7379557,45819,7250,23867053
연료전지 (MWh),180321,30327,51655,112962,2376,282,18721,0,590994,186,115,24281,1933,117960,11068,221,0,1469289
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,360681,0,0,0,0,0,1285733
