에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),256391,216239,107527,932945,61459,23511,584413,30371,1897065,1606493,760554,6060662,981230,3656260,7075102,1821132,810838,37078862
① 재생에너지 합,200239,178316,75338,899876,58679,23295,559965,30371,1294112,1606251,760529,6045948,965631,3585700,7022974,1821073,810838,35983514
② 신에너지 합,56152,37923,32189,33069,2780,216,24448,0,602953,241,25,14715,15599,70560,52128,58,0,1095349
신·재생에너지 지역별 발전비중 (%),0.95,0.80,0.40,3.47,0.23,0.09,2.17,0.11,7.06,5.98,2.83,22.55,3.65,13.60,26.32,6.77,3.02,100.00
태양광 (MWh),53021,68826,34871,38193,39232,22237,14006,7812,157574,137016,105491,183928,448670,669188,293314,234819,48102,3979158
풍력 (MWh),177,526,18,47869,2,350,2645,0,5337,395137,14,22,11428,117352,292021,25515,247144,1342439
수력 (MWh),1136,178,17208,35139,4416,548,490,10117,529406,612574,592308,89439,238530,133239,226892,260973,1333,2150013
해양 (MWh),0,0,0,0,0,0,0,0,492172,0,0,0,0,0,0,0,0,496354
바이오 (MWh),17281,16862,20268,763705,5949,159,308915,0,28148,431328,6793,941454,206537,165008,235,1242699,500897,5546583
폐기물 (MWh),128623,91923,2974,14970,9081,0,233909,12442,81475,30197,55923,4831105,60467,2500913,6210512,57068,13362,22468966
연료전지 (MWh),56152,37922,32189,33069,2780,216,24448,0,602953,241,25,14714,15599,70560,52128,58,0,1089260
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6089
