에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),316806,135772,181857,469248,70215,86763,1176787,84701,1514251,902963,568359,1840831,658316,3034387,2043004,667176,426972,16448386
① 재생에너지 합,278669,129365,170946,445399,69668,86698,1172800,84701,1389488,902920,568332,1759599,657908,3009490,2040608,667125,426972,15861222
② 신에너지 합,38137,6406,10911,23850,547,65,3987,0,124763,43,27,81232,409,24897,2396,51,0,587164
신·재생에너지 지역별 공급비중 (%),2.23,0.96,1.28,3.31,0.50,0.61,8.30,0.60,10.68,6.37,4.01,12.98,4.64,21.40,14.41,4.71,3.01,100.00
태양열 (toe),920,985,1188,765,711,892,431,120,3207,3322,1244,2674,1309,2688,3603,3976,461,28121
태양광 (toe),19355,20937,13413,12865,21297,7496,5403,7272,64728,51642,50619,122380,198152,268424,120053,84722,24074,1516349
풍력 (toe),43,116,6,10281,0,86,551,0,1135,93428,3,218,4325,49980,84780,11984,98405,462162
수력 (toe),315,23,3357,9172,1783,78,193,1697,119945,141238,131899,17269,40469,27520,48104,59754,428,600690
해양 (toe),0,0,0,0,0,0,0,0,104562,0,0,0,0,0,0,0,0,104256
지열 (toe),9906,1886,5470,4429,3267,3229,3265,8209,34841,13629,7164,11971,17949,13300,10301,11590,1642,183922
수열 (toe),0,0,0,12,0,0,0,0,0,123,0,291,99,3267,79,972,1146,7941
바이오 (toe),79517,41391,79519,264265,20710,26744,302205,6547,328104,121410,48326,456444,167233,179621,55552,303223,284642,3598782
폐기물 (toe),168614,64028,67993,143610,21900,48172,860753,60857,732965,478129,329078,1148352,228370,2464690,1718137,190904,16175,9358998
연료전지 (toe),38137,6406,10911,23850,547,65,3987,0,124763,43,27,5128,409,24897,2396,51,0,313303
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
