지역,건물,수송,발전,계(발전제외),총계,산업
계,2896771,3337950,57905991,110249196,154943952,98743839
서울,1095943,1171170,X,2597558,X,348806
부산,171133,391475,1104665,1335277,2435787,736492
대구,80638,107990,-,1254363,1099122,952094
인천,157974,144630,9997003,4885140,14231935,4708752
광주,43408,32242,-,395984,386334,317597
대전,189769,369509,-,944966,905867,380113
울산,23790,41239,1369915,12285087,12871197,11452081
세종,10972,-,X,177507,X,167949
경기,656203,570093,1909028,18322004,19411964,16724962
강원,130300,52830,4087464,4963328,7667671,4522113
충북,52458,69648,-,3164568,3276264,3175934
충남,50554,46306,24872389,18485945,39285683,16834721
전북,40739,50466,X,3169735,3320002,2871501
전남,21916,76514,2243831,24312936,24500001,22481880
경북,61516,89057,459548,12081181,12102220,11476949
경남,83087,96090,10358608,1796414,8971442,1575680
제주,26369,28692,367400,77202,413364,16215
