용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,466592949,47234102,20664842,14954958,22651946,8130493,9160107,29362724,578610,100291952,15904382,21361911,44492412,21462325,28484719,44799525,33014947,3864639,178351
가정용,63536151,13401442,4442765,3050594,3594327,1760440,1846191,1415434,35895,15445318,1876292,1898041,2518449,2268132,2187655,3133988,4026934,634238,16
공공용,21422339,3624262,1279869,661680,892624,495329,1009641,372416,32970,5125386,1229972,1123754,1049549,879868,835185,1364412,1198079,243851,3492
서비스업,132498774,28116229,7337031,5378230,6326536,3036596,3760029,3440380,107229,29826560,5985865,4535277,6603709,4742703,5128688,8288663,8152875,1721762,10412
농림어업,12074003,14928,97763,64790,103592,65475,25297,77373,16863,1985029,431374,553410,1547733,1010655,2225686,1298131,1492768,1063136,0
광업,1616371,11283,20053,3635,72399,1331,1967,20415,4224,245369,343841,105055,417407,65833,59315,167680,69323,6927,314
제조업,235445313,2065958,7487361,5796029,11662470,2771323,2516982,24036707,381428,47664290,6037038,13146375,32355565,12495135,18048189,30546652,18074967,194727,164117
