에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),620824,555757,213801,1096745,269032,108432,1145401,106914,3359322,3748855,1502675,9013117,5975546,10632701,9249434,1957535,2784464,43123776
① 재생에너지 합,340229,307621,180211,533773,266482,82730,1133628,106865,2566138,3747979,1502255,7835576,5970564,10452317,9236543,1955258,2784464,37202048
② 신에너지 합,280596,248136,33590,562972,2550,25702,11773,50,793184,876,421,1177541,4982,180385,12891,2277,0,5921728
신·재생에너지 지역별 발전비중 (%),1.19,1.06,0.41,2.10,0.51,0.21,2.19,0.20,6.42,7.16,2.87,17.22,11.42,20.31,17.67,3.74,5.32,100.00
태양광 (MWh),200569,195180,144052,159073,250572,80403,95105,69222,1085862,1055609,803035,1735476,2340375,2771005,1712302,1130759,364312,19337964
풍력 (MWh),191,341,25,43837,2,377,2287,0,4839,685508,26,2672,50718,488837,774049,75594,549944,3149948
수력 (MWh),1753,101,3751,39953,7105,245,1323,0,566631,708305,628407,76824,231799,94430,237721,189868,2861,3879383
해양 (MWh),0,0,0,0,0,0,0,0,474321,0,0,0,0,0,0,0,0,457263
바이오 (MWh),37612,9123,22390,265584,2303,0,723555,25036,315130,1238396,10547,2037524,3310551,24132,17576,515194,1860981,9938354
폐기물 (MWh),100105,102876,9994,25326,6499,1705,311359,12607,119354,60160,60240,3983081,37122,7073913,6494895,43842,6366,439137
연료전지 (MWh),280596,248136,33590,562972,2550,25702,11773,50,793184,876,421,146269,4982,180385,12891,2277,0,3544354
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,1031272,0,0,0,0,0,2377374
