계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,전체(시도),전체(시 / 군 / 구),주택용,"15,604,839 ","7,160,556,336 ","835,019,526,654 ",116.6 
202101,전체(시도),전체(시 / 군 / 구),일반용,"3,284,690 ","11,411,642,315 ","1,473,565,125,053 ",129.1 
202101,전체(시도),전체(시 / 군 / 구),교육용,"20,986 ","980,091,030 ","92,265,768,307 ",94.1 
202101,전체(시도),전체(시 / 군 / 구),산업용,"429,650 ","24,991,355,569 ","2,787,440,775,190 ",111.5 
202101,전체(시도),전체(시 / 군 / 구),농사용,"1,891,452 ","2,074,509,765 ","93,177,134,932 ",44.9 
202101,전체(시도),전체(시 / 군 / 구),가로등,"2,145,784 ","331,560,982 ","34,680,715,926 ",104.6 
202101,전체(시도),전체(시 / 군 / 구),심 야,"748,450 ","1,777,536,568 ","128,675,449,831 ",72.4 
202102,전체(시도),전체(시 / 군 / 구),주택용,"15,614,847 ","6,899,314,903 ","783,553,061,015 ",113.6 
202102,전체(시도),전체(시 / 군 / 구),일반용,"3,286,370 ","10,722,426,372 ","1,410,154,790,685 ",131.5 
202102,전체(시도),전체(시 / 군 / 구),교육용,"21,023 ","816,123,718 ","80,801,313,569 ",99.0 
202102,전체(시도),전체(시 / 군 / 구),산업용,"429,875 ","22,746,846,514 ","2,568,943,107,237 ",112.9 
202102,전체(시도),전체(시 / 군 / 구),농사용,"1,892,517 ","1,990,168,170 ","90,258,367,085 ",45.4 
202102,전체(시도),전체(시 / 군 / 구),가로등,"2,143,178 ","310,513,259 ","34,108,043,134 ",109.8 
202102,전체(시도),전체(시 / 군 / 구),심 야,"746,326 ","1,666,680,883 ","120,849,648,284 ",72.5 
202103,전체(시도),전체(시 / 군 / 구),주택용,"15,622,683 ","5,928,018,553 ","602,951,493,152 ",101.7 
202103,전체(시도),전체(시 / 군 / 구),일반용,"3,286,743 ","9,084,500,770 ","1,118,995,674,517 ",123.2 
202103,전체(시도),전체(시 / 군 / 구),교육용,"21,032 ","735,013,907 ","71,247,404,114 ",96.9 
202103,전체(시도),전체(시 / 군 / 구),산업용,"430,052 ","24,103,533,192 ","2,241,206,311,437 ",93.0 
202103,전체(시도),전체(시 / 군 / 구),농사용,"2,447,773 ","1,671,989,248 ","77,162,577,894 ",46.2 
202103,전체(시도),전체(시 / 군 / 구),가로등,"2,148,020 ","287,603,584 ","31,939,467,414 ",111.1 
202103,전체(시도),전체(시 / 군 / 구),심 야,"743,769 ","1,235,882,386 ","79,117,935,666 ",64.0 
202104,전체(시도),전체(시 / 군 / 구),주택용,"15,642,122 ","6,084,339,458 ","632,420,618,339 ",103.9 
202104,전체(시도),전체(시 / 군 / 구),일반용,"3,292,149 ","8,641,868,349 ","994,857,670,851 ",115.1 
202104,전체(시도),전체(시 / 군 / 구),교육용,"21,010 ","630,647,772 ","56,112,781,500 ",89.0 
202104,전체(시도),전체(시 / 군 / 구),산업용,"430,537 ","23,760,459,364 ","2,188,722,026,488 ",92.1 
202104,전체(시도),전체(시 / 군 / 구),농사용,"1,986,374 ","1,533,939,675 ","71,355,135,432 ",46.5 
202104,전체(시도),전체(시 / 군 / 구),가로등,"2,152,583 ","285,022,643 ","32,664,078,638 ",114.6 
202104,전체(시도),전체(시 / 군 / 구),심 야,"741,488 ","935,889,733 ","49,115,111,894 ",52.5 
202105,전체(시도),전체(시 / 군 / 구),주택용,"15,651,317 ","5,760,113,225 ","577,379,087,081 ",100.2 
202105,전체(시도),전체(시 / 군 / 구),일반용,"3,296,365 ","8,303,610,367 ","964,026,645,960 ",116.1 
202105,전체(시도),전체(시 / 군 / 구),교육용,"20,984 ","518,028,019 ","46,874,471,834 ",90.5 
202105,전체(시도),전체(시 / 군 / 구),산업용,"430,961 ","23,976,813,107 ","2,154,501,131,139 ",89.9 
202105,전체(시도),전체(시 / 군 / 구),농사용,"1,922,604 ","1,348,979,293 ","62,891,023,823 ",46.6 
202105,전체(시도),전체(시 / 군 / 구),가로등,"2,159,213 ","265,693,807 ","31,383,712,146 ",118.1 
202105,전체(시도),전체(시 / 군 / 구),심 야,"738,481 ","644,097,984 ","34,523,330,034 ",53.6 
202106,전체(시도),전체(시 / 군 / 구),주택용,"15,661,218 ","6,013,753,002 ","619,162,200,412 ",103.0 
202106,전체(시도),전체(시 / 군 / 구),일반용,"3,303,783 ","9,244,615,911 ","1,233,186,269,608 ",133.4 
202106,전체(시도),전체(시 / 군 / 구),교육용,"20,962 ","594,243,808 ","66,587,785,912 ",112.1 
202106,전체(시도),전체(시 / 군 / 구),산업용,"431,389 ","24,010,519,547 ","2,760,557,983,134 ",115.0 
202106,전체(시도),전체(시 / 군 / 구),농사용,"1,931,495 ","1,403,803,751 ","63,699,559,300 ",45.4 
202106,전체(시도),전체(시 / 군 / 구),가로등,"2,172,611 ","252,843,330 ","30,819,915,023 ",121.9 
202106,전체(시도),전체(시 / 군 / 구),심 야,"735,833 ","487,141,218 ","27,259,297,978 ",56.0 
합계,합계,합계,합계,"145,703,538","261,622,291,387","27,454,213,527,622",104.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,강원특별자치도,전체,가로등,"126,130 ","17,427,965 ","1,868,643,036 ",107.2 
202101,강원특별자치도,전체,교육용,"1,061 ","41,413,887 ","3,909,542,188 ",94.4 
202101,강원특별자치도,전체,농사용,"115,482 ","67,586,268 ","3,177,299,997 ",47 
202101,강원특별자치도,전체,산업용,"14,345 ","533,361,061 ","59,613,508,699 ",111.8 
202101,강원특별자치도,전체,심 야,"87,060 ","249,378,699 ","17,972,165,489 ",72.1 
202101,강원특별자치도,전체,일반용,"152,413 ","493,397,443 ","62,321,881,894 ",126.3 
202101,강원특별자치도,전체,주택용,"618,327 ","227,246,195 ","26,955,651,763 ",118.6 
202101,강원특별자치도,전체,합계,"1,114,818 ","1,629,811,518 ","175,818,693,066 ",107.9 
202101,경기도,전체,가로등,"371,221 ","81,444,942 ","8,662,756,050 ",106.4 
202101,경기도,전체,교육용,"4,532 ","202,960,431 ","18,508,160,674 ",91.2 
202101,경기도,전체,농사용,"237,710 ","301,196,370 ","13,412,229,410 ",44.5 
202101,경기도,전체,산업용,"133,001 ","6,398,473,417 ","719,747,563,555 ",112.5 
202101,경기도,전체,심 야,"134,878 ","419,443,230 ","30,493,761,129 ",72.7 
202101,경기도,전체,일반용,"708,113 ","3,034,698,761 ","385,578,993,725 ",127.1 
202101,경기도,전체,주택용,"3,022,730 ","1,881,372,025 ","223,583,388,621 ",118.8 
202101,경기도,전체,합계,"4,612,185 ","12,319,589,176 ","1,399,986,853,164 ",113.6 
202101,경상남도,전체,가로등,"188,024 ","26,231,063 ","2,793,688,576 ",106.5 
202101,경상남도,전체,교육용,"1,680 ","48,336,049 ","4,982,081,830 ",103.1 
202101,경상남도,전체,농사용,"220,960 ","375,025,487 ","16,563,510,931 ",44.2 
202101,경상남도,전체,산업용,"38,693 ","1,788,760,776 ","212,824,360,326 ",119 
202101,경상남도,전체,심 야,"81,406 ","128,411,330 ","9,323,039,335 ",72.6 
202101,경상남도,전체,일반용,"225,860 ","627,572,860 ","82,739,092,634 ",131.8 
202101,경상남도,전체,주택용,"1,180,688 ","454,903,847 ","52,553,310,996 ",115.5 
202101,경상남도,전체,합계,"1,937,311 ","3,449,241,412 ","381,779,084,628 ",110.7 
202101,경상북도,전체,가로등,"213,149 ","28,605,209 ","2,956,224,352 ",103.3 
202101,경상북도,전체,교육용,"1,483 ","67,335,213 ","6,402,112,958 ",95.1 
202101,경상북도,전체,농사용,"358,893 ","207,052,700 ","9,564,993,036 ",46.2 
202101,경상북도,전체,산업용,"32,714 ","2,590,808,264 ","281,489,280,044 ",108.6 
202101,경상북도,전체,심 야,"70,891 ","168,047,755 ","12,103,701,675 ",72 
202101,경상북도,전체,일반용,"220,214 ","552,215,838 ","71,418,436,214 ",129.3 
202101,경상북도,전체,주택용,"1,157,939 ","356,107,142 ","40,557,690,563 ",113.9 
202101,경상북도,전체,합계,"2,055,283 ","3,970,172,121 ","424,492,438,842 ",106.9 
202101,광주광역시,전체,가로등,"47,953 ","7,885,102 ","815,183,230 ",103.4 
202101,광주광역시,전체,교육용,630 ,"32,355,494 ","3,074,821,310 ",95 
202101,광주광역시,전체,농사용,"12,017 ","11,148,705 ","494,595,520 ",44.4 
202101,광주광역시,전체,산업용,"6,402 ","267,717,054 ","32,272,757,689 ",120.5 
202101,광주광역시,전체,심 야,"5,704 ","13,368,315 ","960,768,979 ",71.9 
202101,광주광역시,전체,일반용,"94,050 ","278,464,922 ","36,025,290,206 ",129.4 
202101,광주광역시,전체,주택용,"386,291 ","200,924,825 ","22,352,496,686 ",111.2 
202101,광주광역시,전체,합계,"553,047 ","811,864,417 ","95,995,913,620 ",118.2 
202101,대구광역시,전체,가로등,"64,208 ","12,467,701 ","1,269,854,255 ",101.9 
202101,대구광역시,전체,교육용,818 ,"38,503,461 ","3,775,463,587 ",98.1 
202101,대구광역시,전체,농사용,"15,574 ","8,861,884 ","418,739,507 ",47.3 
202101,대구광역시,전체,산업용,"20,394 ","573,679,294 ","67,552,724,035 ",117.8 
202101,대구광역시,전체,심 야,"16,711 ","30,537,976 ","2,212,425,547 ",72.4 
202101,대구광역시,전체,일반용,"155,194 ","456,494,369 ","58,902,263,108 ",129 
202101,대구광역시,전체,주택용,"656,667 ","323,293,264 ","35,976,122,622 ",111.3 
202101,대구광역시,전체,합계,"929,566 ","1,443,837,949 ","170,107,592,661 ",117.8 
202101,대전광역시,전체,가로등,"38,714 ","7,412,115 ","777,468,148 ",104.9 
202101,대전광역시,전체,교육용,616 ,"45,305,430 ","4,149,666,067 ",91.6 
202101,대전광역시,전체,농사용,"7,900 ","4,106,395 ","195,492,181 ",47.6 
202101,대전광역시,전체,산업용,"5,598 ","282,391,468 ","32,472,788,099 ",115 
202101,대전광역시,전체,심 야,"14,693 ","28,598,956 ","2,070,211,022 ",72.4 
202101,대전광역시,전체,일반용,"82,689 ","349,806,431 ","44,590,453,357 ",127.5 
202101,대전광역시,전체,주택용,"441,231 ","195,182,881 ","21,226,092,447 ",108.7 
202101,대전광역시,전체,합계,"591,441 ","912,803,676 ","105,482,171,321 ",115.6 
202101,부산광역시,전체,가로등,"87,327 ","16,211,181 ","1,679,660,007 ",103.6 
202101,부산광역시,전체,교육용,"1,140 ","46,087,711 ","4,718,020,171 ",102.4 
202101,부산광역시,전체,농사용,"12,058 ","14,380,143 ","653,644,217 ",45.5 
202101,부산광역시,전체,산업용,"24,858 ","703,997,152 ","89,526,688,287 ",127.2 
202101,부산광역시,전체,심 야,"18,672 ","34,599,558 ","2,531,794,346 ",73.2 
202101,부산광역시,전체,일반용,"189,868 ","585,762,157 ","78,577,155,442 ",134.1 
202101,부산광역시,전체,주택용,"954,501 ","461,241,639 ","52,841,511,084 ",114.6 
202101,부산광역시,전체,합계,"1,288,424 ","1,862,279,541 ","230,528,473,554 ",123.8 
202101,서울특별시,전체,가로등,"216,650 ","28,185,756 ","2,900,599,973 ",102.9 
202101,서울특별시,전체,교육용,"2,628 ","193,016,224 ","17,548,052,933 ",90.9 
202101,서울특별시,전체,농사용,"1,928 ","2,068,194 ","93,678,872 ",45.3 
202101,서울특별시,전체,산업용,"43,658 ","448,731,955 ","53,891,207,212 ",120.1 
202101,서울특별시,전체,심 야,"13,200 ","24,823,906 ","2,022,255,088 ",81.5 
202101,서울특별시,전체,일반용,"546,529 ","2,371,896,050 ","306,812,112,115 ",129.4 
202101,서울특별시,전체,주택용,"2,869,649 ","1,331,688,210 ","157,244,336,747 ",118.1 
202101,서울특별시,전체,합계,"3,694,242 ","4,400,410,295 ","540,512,242,940 ",122.8 
202101,세종특별자치시,전체,가로등,"13,945 ","3,281,397 ","348,097,468 ",106.1 
202101,세종특별자치시,전체,교육용,147 ,"9,919,429 ","880,639,256 ",88.8 
202101,세종특별자치시,전체,농사용,"9,877 ","8,886,933 ","400,969,878 ",45.1 
