에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),648640,572936,197016,745254,207138,71321,1340733,94713,3039182,3514752,1505716,10188066,5109846,12641507,10134295,1781652,1872355,52340558
① 재생에너지 합,327731,311474,155315,537467,204749,70905,1324042,94698,2330906,3514375,1505401,8418858,5105813,12519390,10123634,1781056,1872355,49002632
② 신에너지 합,320908,261462,41702,207787,2389,416,16691,15,708275,377,315,1769208,4033,122117,10661,596,0,3337926
신·재생에너지 지역별 발전비중 (%),1.21,1.07,0.37,1.39,0.39,0.13,2.50,0.18,5.66,6.55,2.81,18.98,9.52,23.56,18.88,3.32,3.49,100.00
태양광 (MWh),161941,161433,109238,126232,187934,65877,75098,59810,752791,701797,554732,1192135,1644913,2098429,1223261,811509,227832,14192911
풍력 (MWh),209,513,28,42941,2,413,2476,0,5145,691429,17,3025,20660,352678,730469,78308,536566,2679248
수력 (MWh),1107,87,4031,35170,7931,342,877,1,707774,964593,862168,76778,219193,77965,233370,180669,2320,2791076
해양 (MWh),0,0,0,0,0,0,0,0,485353,0,0,0,0,0,0,0,0,474321
바이오 (MWh),40499,11336,25236,262440,2901,0,784868,20496,253217,1084511,7308,1890056,3163041,37854,10452,671011,1098003,10415632
폐기물 (MWh),123975,138105,16782,70684,5980,4272,460724,14391,126626,72045,81177,5256864,58005,9952465,7926082,39559,7635,18449443
연료전지 (MWh),320908,261462,41702,207787,2389,416,16691,15,708275,377,315,67203,4033,122117,10661,596,0,2306654
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,1702006,0,0,0,0,0,1031272
