용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,483654816,45381484,20002307,14947708,23211766,8333873,9182737,30286140,2641139,105048003,16206618,22949032,47286062,22086860,32637829,44956836,33876325,4429553,190544
가정용,63794045,12964825,4352290,3024175,3662376,1880747,1849215,1450241,272724,15607128,1888434,1940308,2509792,2276416,2205174,3176918,4057544,675632,106
공공용,22178571,3639448,1174232,747243,901663,519066,948718,433216,246413,5127615,1302530,1192535,1007144,997780,888012,1460187,1329556,259990,3223
서비스업,132049197,26735844,7211682,5203463,6364880,3036910,3779404,3495222,519738,30798442,5865276,4477619,6753172,4671358,5157332,7864509,8136258,1969206,8882
농림어업,14644965,14231,96752,66068,132422,72806,28359,74015,73944,2263979,546991,668578,1767004,1285640,2743853,1588826,1930699,1290798,0
광업,1630854,3106,21068,4444,83342,2430,2532,20661,22505,259545,367336,116955,280838,69440,64881,223169,82166,6266,170
제조업,249357182,2024028,7146285,5902315,12067082,2821914,2574509,24812786,1505815,50991294,6236052,14553036,34968111,12786226,21578576,30643227,18340103,227661,178162
