,연도,지역,소계,재생에너지,신에너지,공급비중,태양열 (toe),태양광 (toe),풍력 (toe),수력 (toe),해양 (toe),지열 (toe),수열 (toe),바이오 (toe),폐기물 (toe),연료전지 (toe),연도_datetime
19,2021.1,서울,325737,232226,93510,2.33,561,55298,45,132,-1,17900,18,81856,76416,93510,2021
20,2021.2,부산,213516,150968,62548,1.53,686,58882,15,9,-1,3104,46,51370,36856,62548,2021
21,2021.3,대구,184664,181487,3177,1.32,738,44631,6,3092,-1,8395,-1,103172,21454,3177,2021
22,2021.4,인천,595688,276678,319009,4.25,577,49014,8415,8765,-1,8666,157,153890,47195,319009,2021
23,2021.5,광주,99072,98033,1039,0.71,540,70029,1,1753,-1,3835,-1,20475,1400,1039,2021
24,2021.6,대전,91966,83514,8453,0.66,570,23997,87,59,-1,5807,-1,26553,26441,8453,2021
25,2021.7,울산,501111,489254,11857,3.58,307,32384,372,244,-1,4414,-1,355707,95826,11857,2021
26,2021.8,세종,84544,75206,9338,0.6,109,20576,-1,-1,-1,15683,-1,30497,8340,9338,2021
27,2021.9,경기,1664252,1354582,309670,11.89,2305,384178,998,134900,96907,55341,19,426130,253804,309670,2021
28,2021.10,강원,1558778,1527182,31596,11.13,2684,393308,201821,151904,-1,21462,684,539973,215346,31596,2021
29,2021.11,충북,697775,686054,11721,4.98,1345,304063,11,155715,-1,13116,5,62300,149498,11721,2021
30,2021.12,충남,1985783,1422595,563188,14.18,2132,663622,437,12205,-1,21792,1909,680646,39853,96557,2021
31,2021.13,전북,2116947,2114538,2409,15.12,1215,905410,31080,50892,-1,21717,841,1053063,50321,2409,2021
32,2021.14,전남,1465050,1416169,48881,10.46,3296,1112350,111982,18346,3,18687,14078,71578,65850,48881,2021
33,2021.15,경북,1080720,1072946,7774,7.72,4298,659785,194906,62247,-1,18454,661,96082,36512,7774,2021
34,2021.16,경남,710771,705268,5503,5.08,3899,394225,14551,50280,-1,15448,4412,164483,57968,5503,2021
35,2021.17,제주,623944,623855,89,4.46,306,145474,112780,685,1,1771,1927,345800,15112,89,2021
36,2022,전국,15706206,14134169,1572037,100.0,25035,6609387,717864,755117,90279,279650,26543,4372872,1257422,1153529,2022
37,2022.1,서울,317023,245539,71483,2.02,503,65697,46,81,-1,20070,18,89647,69477,71483,2022
38,2022.2,부산,236408,166498,69911,1.51,617,71015,16,55,-1,3610,73,58160,32952,69911,2022
39,2022.3,대구,179814,176575,3238,1.14,648,55601,6,3188,-1,9877,-1,73361,33895,3238,2022
40,2022.4,인천,586824,299790,287034,3.74,543,57128,8263,6481,-1,9912,157,167582,49723,287034,2022
41,2022.5,광주,128439,114533,13906,0.82,520,84614,2,1335,-1,3914,-1,22761,1387,13906,2022
42,2022.6,대전,114634,96207,18427,0.73,528,30136,88,28,-1,7025,-1,25098,33304,18427,2022
43,2022.7,울산,480459,434258,46201,3.06,277,38903,54,93,-1,4839,17,286450,103624,46201,2022
44,2022.8,세종,90157,81552,8605,0.57,102,24538,-1,-1,-1,16258,-1,35240,5414,8605,2022
45,2022.9,경기,1782795,1453494,329301,11.35,2208,464713,959,152857,90278,60038,97,431014,251332,329301,2022
46,2022.10,강원,1730425,1671606,58819,11.02,2492,468677,203379,249064,-1,24057,709,481691,241538,58819,2022
47,2022.11,충북,851656,807715,43942,5.42,1289,369737,17,175602,-1,14148,15,71941,174966,43942,2022
48,2022.12,충남,2163189,1640544,522644,13.77,2079,792320,456,11157,-1,24069,1979,767937,40548,104136,2022
49,2022.13,전북,2539588,2515875,23713,16.17,1216,1183907,34440,45345,-1,23817,904,1178969,47277,23713,2022
50,2022.14,전남,1754851,1692575,62277,11.17,3532,1364272,124776,11936,1,19374,15175,83502,70007,62277,2022
51,2022.15,경북,1288507,1282200,6308,8.2,4328,875924,194644,50805,-1,20559,739,102072,33129,6308,2022
52,2022.16,경남,782019,775878,6142,4.98,3874,492688,28436,46485,-1,16312,4706,124747,58631,6142,2022
53,2022.17,제주,679417,679329,88,4.33,279,169517,122284,606,0,1771,1955,372699,10218,88,2022
