월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 기력 LNG,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,한전 및 자회사 기타 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,타사 기타 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 기력 LNG,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,사업자(종합) 기타 소계,상용자가 총계,상용자가 한전구입 소계,상용자가 자가소비 소계,총발전량 사업자+한전구입 소계,총발전량 사업자+상용자가 소계
합계,400373182,4761910,927736,3682932,151241,175090166,1853783,170565608,1493853,1176921,49981779,158015230,8340828,3626727,490697,65846,175412367,1975525,1464088,511436,16485199,80376476,30760728,44699062,1115378,575785550,6737434,2391824,3682932,662678,191575365,1853783,187050807,1493853,1176921,130358255,158015230,39101556,48325789,490697,1181224,31982353,1023939,30958414,576809488,607767903
1월,37204190,383414,48219,323699,11496,16396875,238299,15803888,250396,104292,5259779,14042335,722250,338860,53778,6898,15763947,133352,106583,26769,889305,7681977,1973086,4998731,87494,52968137,516767,154802,323699,38265,17286180,238299,16693193,250396,104292,12941756,14042335,2695337,5337591,53778,94393,...,187466,...,53155603,...
2월,30946181,365910,48079,307903,9928,12720042,134298,12460817,94611,30316,4081229,12731704,692805,311313,39715,3463,13882936,112177,89373,22804,1098286,6208608,2298451,4089749,75665,44829117,478088,137452,307903,32732,13818328,134298,13559104,94611,30316,10289837,12731704,2991256,4401062,39715,79127,...,144614,...,44973731,...
3월,30634994,387905,68697,308632,10576,11509612,143907,11365705,-,-,3807804,13799717,762492,321788,38574,7101,16405076,124150,82586,41564,849689,8216580,2713028,4416575,85054,47040069,512055,151283,308632,52140,12359301,143907,12215394,-,-,12024384,13799717,3475520,4738364,38574,92155,...,152651,...,47192720,...
4월,29411611,405692,76531,319447,9715,11211308,120910,10971398,31683,87317,4089890,12550522,795038,304077,49291,5792,14133558,150484,105434,45050,1117062,6220942,2957751,3600149,87169,43545169,556177,181964,319447,54765,12328370,120910,12088460,31683,87317,10310832,12550522,3752789,3904226,49291,92961,...,92326,...,43637495,...
5월,30432530,448307,133752,303229,11325,12877349,234809,12387478,180883,74179,3252531,12760349,722602,322617,44032,4743,13853644,188657,138775,49883,1077124,6633583,2957516,2907864,88901,44286175,636964,272527,303229,61208,13954473,234809,13464602,180883,74179,9886114,12760349,3680118,3230480,44032,93644,...,18465,...,44304640,...
6월,31508419,455644,147822,295412,12411,14996386,143016,14559776,137630,155963,3936587,11314115,470683,299031,29890,6082,14209952,230873,180668,50205,1391796,6856751,2719169,2910341,101022,45718371,686517,328490,295412,62615,16388182,143016,15951573,137630,155963,10793338,11314115,3189852,3209372,29890,107105,...,69735,...,45788106,...
7월,37970402,482337,123236,343656,15445,19208178,241116,18490128,237595,239338,5032095,12303367,604507,293256,39511,7152,16076171,229531,172506,57025,1965183,7499824,2785495,3494369,101770,54046573,711868,295742,343656,72470,21173360,241116,20455311,237595,239338,12531918,12303367,3390001,3787625,39511,108922,...,98352,...,54144925,...
8월,36967040,406859,71216,318187,17456,18365303,238493,17997677,47692,81441,4196822,12779715,848586,326950,39860,2945,14733770,199531,143252,56279,1868362,6867083,2440862,3260288,97644,51700810,606390,214468,318187,73735,20233665,238493,19866039,47692,81441,11063905,12779715,3289448,3587238,39860,100589,...,94986,...,51795796,...
9월,32436599,368578,75044,276903,16631,14558742,48212,14225568,173749,111213,4194077,12172417,761585,334170,42945,4085,12950475,205888,152672,53216,1381314,5879049,2410538,2972948,100738,45387074,574466,227716,276903,69847,15940056,48212,15606882,173749,111213,10073126,12172417,3172124,3307118,42945,104823,...,23229,...,45410303,...
10월,32073517,360005,53718,292035,14252,13371325,86607,12918028,173743,192948,4027665,13462108,582988,225180,37652,6593,14038499,146897,104056,42842,1652034,6135704,2666506,3335699,101658,46112016,506902,157774,292035,57093,15023359,86607,14570062,173743,192948,10163369,13462108,3249494,3560879,37652,108251,...,35129,...,46147145,...
11월,32854687,306713,40037,255709,10968,14210187,224116,13858568,87584,39920,3914763,13567239,608821,206453,34362,6148,13974606,126089,92399,33690,1365221,6015939,2382800,3992640,91917,46829293,432802,132436,255709,44657,15575408,224116,15223789,87584,39920,9930702,13567239,2991621,4199093,34362,98065,...,56125,...,46885417,...
12월,37933013,390544,41385,338120,11039,15664857,1,15526575,78288,59994,4188537,16531642,768469,343032,41087,4843,15389734,127895,95785,32110,1829823,6160436,2455527,4719709,96345,53322747,518439,137170,338120,43149,17494680,1,17356398,78288,59994,10348973,16531642,3223996,5062741,41087,101189,...,50862,...,53373609,...
