월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 기력 LNG,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 기력 LNG,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,상용자가 한전구입 소계,총발전량 사업자+한전구입 소계
합계,436314042,4834818,869712,3787310,177796,221335482,7760682,200151489,13054770,368541,43688294,161995104,1098064,2789084,573196,103906393,1798767,1289437,509331,1287995,53233975,17837596,29748060,540220436,6633585,2159149,3787310,687126,222623477,7760682,201439484,13054770,368541,96922270,161995104,18935660,32537144,573196,220419,540440854
1월,40475119,550011,43529,489913,16569,20168366,726618,17692212,1654327,95209,3863803,15442312,45309,351393,53924,9613246,62651,43073,19578,-,5365570,1417379,2767645,50088365,612663,86602,489913,36148,20168366,726618,17692212,1654327,95209,9229374,15442312,1462688,3119038,53924,46951,50135317
2월,35876358,335969,16595,306404,12969,17809933,665367,15583167,1479587,81812,3146842,14164523,67283,301477,50332,8468576,57519,36192,21327,-,4413702,1426107,2571247,44344933,393488,52787,306404,34296,17809933,665367,15583167,1479587,81812,7560544,14164523,1493391,2872724,50332,38390,44383323
3월,36871550,310293,54123,242667,13503,18359434,754717,15892460,1671052,41206,3212093,14602370,68458,257800,61103,8882461,84339,48659,35681,24995,4612137,1497690,2663300,45754011,394633,102782,242667,49184,18384430,754717,15917455,1671052,41206,7824229,14602370,1566148,2921100,61103,29058,45783069
4월,33749626,331333,77217,239462,14654,15976359,608532,14148600,1219227,-,1982621,15332232,57898,29749,39436,7394012,134382,88603,45778,58124,3122928,1556080,2522499,41143638,465714,165820,239462,60432,16034482,608532,14206723,1219227,-,5105549,15332232,1613978,2552247,39436,13180,41156818
5월,34575210,418863,117861,285398,15605,17237128,707050,15613851,916228,-,2550070,13999369,63679,269890,36210,7459261,215176,155529,59647,80044,3352122,1582702,2229217,42034471,634039,273389,285398,75252,17317173,707050,15693895,916228,-,5902192,13999369,1646381,2499107,36210,6523,42040994
6월,34634612,313290,73006,226540,13744,17649526,642000,16237480,770046,-,3345045,12972156,50107,261178,43310,7910403,203917,157310,46607,239874,4009990,1352264,2104358,42545014,517207,230316,226540,60351,17889400,642000,16477354,770046,-,7355034,12972156,1402371,2365536,43310,5569,42550584
7월,39009702,535663,221845,297111,16706,19840642,731206,17946332,1154595,8508,4679711,13564652,83581,245601,59852,8071385,369124,311228,57895,59344,4136171,1481442,2025305,47081088,904787,533074,297111,74602,19899986,731206,18005676,1154595,8508,8815882,13564652,1565023,2270906,59852,4928,47086016
8월,40275529,512729,84856,413645,14228,20102798,735473,18544438,785983,36904,4593583,14651202,150625,211097,53494,8839499,181575,131838,49738,205441,4575668,1642924,2233891,49115028,694304,216694,413645,63965,20308239,735473,18749879,785983,36904,9169252,14651202,1793549,2444988,53494,2951,49117979
9월,34220878,507808,85872,400923,21013,16898144,502777,15924473,470893,-,3802099,12681959,52239,236883,41747,7612776,117711,69461,48250,-,3886885,1435664,2172516,41833654,625519,155333,400923,69263,16898144,502777,15924473,470893,-,7688983,12681959,1487903,2409399,41747,1838,41835493
10월,34522148,344293,33783,296056,14453,17289499,453949,15943080,892470,-,4712157,11657348,155896,315646,47309,8126053,127483,74893,52590,71884,4164023,1430934,2331730,42648201,471775,108676,296056,67043,17361383,453949,16014964,892470,-,8876180,11657348,1586830,2647376,47309,10342,42658543
11월,33345776,312781,27430,275477,9874,18183657,576788,16836327,752568,17975,4201866,10311719,119151,168103,48499,11102396,125929,89511,36418,336260,6197764,1501364,2941080,44448172,438710,116941,275477,46292,18519917,576788,17172586,752568,17975,10399630,10311719,1620515,3109183,48499,25956,44474128
12월,38757534,361785,33596,313712,14477,21819995,656203,19789070,1287795,86927,3598405,12615263,183836,140269,37980,10426325,118961,83139,35822,212029,5397016,1513047,3185271,49183858,480746,116735,313712,50300,22032025,656203,20001099,1287795,86927,8995421,12615263,1696883,3325540,37980,34732,49218590
