에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),782277,616236,251812,2020296,345741,148871,902327,170224,4733827,5888937,2225401,8489538,8325469,6158271,4393519,2542146,2662500,57779999
① 재생에너지 합,343803,322758,237111,522823,341185,111077,846768,126389,3280766,5740642,2170437,5845613,8314254,5928947,4357360,2516475,2662109,50405547
② 신에너지 합,438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,2643925,11215,229324,36159,25672,390,7374452
신·재생에너지 지역별 발전비중 (%),1.54,1.22,0.50,3.99,0.68,0.29,1.78,0.34,9.34,11.63,4.39,16.76,16.43,12.16,8.67,5.02,5.26,100.00
태양광 (MWh),244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330,30726260
풍력 (MWh),198,67,25,39490,5,379,1745,0,4680,947359,49,2047,145910,525511,914994,68197,529363,3369458
수력 (MWh),618,41,14518,41096,8230,257,1144,0,633233,713162,731058,57296,238930,86132,292238,236059,3198,3544866
해양 (MWh),0,0,0,0,0,0,0,0,454961,0,0,0,0,13,0,0,6,423843
바이오 (MWh),28706,14294,14158,210856,3107,0,689987,27461,346957,2225996,8492,2677939,3676706,57690,22778,372760,1410179,11927592
폐기물 (MWh),69477,39506,4996,9278,6438,2683,6193,4704,76112,22885,23435,13352,21301,61136,50388,15702,43033,413529
연료전지 (MWh),438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,453170,11215,229324,36159,25672,390,5409625
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,2190755,0,0,0,0,0,1964827
