지역,총계,산업,건물,수송,발전,계(발전제외)
계,161781939,92656192,2718273,3564704,62842770,98939169
서울,2662272,336178,1100127,1114554,X,2550859
부산,2676683,756390,188650,455798,1275844,1400838
대구,1331104,1142533,72163,116408,-,1331104
인천,16872197,4189498,133648,136914,12412138,4460059
광주,434046,340023,45986,48036,-,434046
대전,986728,401348,186566,398814,-,986728
울산,12524581,10176829,20391,48144,X,10245364
세종,669640,151144,10757,-,X,161901
경기,16579835,12610302,542125,608811,2818597,13761237
강원,4899104,2935737,114209,48601,1800558,3098547
충북,3058978,2954434,49194,55350,-,3058978
충남,40701915,16556650,56663,40912,24047690,16654225
전북,4083519,3440926,38881,99607,X,3579415
전남,25705296,23011659,13782,73308,2606546,23098750
경북,12586222,11857803,61981,87454,578984,12007238
경남,15410431,1783935,63891,103645,13458960,1951470
제주,599390,10802,19259,128349,440979,158411
