지역,총계,산업,건물,수송,발전,계(발전제외)
계,169560784,102717626,2920169,3353698,60569291,108991493
서울,X,368815,1116202,1164137,X,2649154
부산,2855285,830322,184566,381950,1458448,1396837
대구,1253583,1056182,82659,114742,-,1253583
인천,15735772,4355896,165986,136033,11077856,4657915
광주,424060,334776,46038,43245,-,424060
대전,978717,405152,193755,379810,-,978717
울산,13654384,11693667,24216,37657,1898844,11755540
세종,X,154448,9442,-,X,163891
경기,19710579,16621354,626877,592194,1870154,17840425
강원,9699068,5030380,129880,57721,4481087,5217981
충북,3024003,2911602,55001,57400,-,3024003
충남,41983514,17987200,56472,45433,23894409,18089105
전북,X,3183620,39893,52692,X,3276205
전남,26490564,24263435,19448,81698,2125983,24364581
경북,12538749,11853913,63804,87535,533496,12005253
경남,13572539,1654082,79997,100828,11737632,1834907
제주,426181,12782,25932,20623,366844,59337
