지역,총계,산업,건물,발전,계(발전제외)
계,153577930,87354493,2323715,63899722,89678208
서울,1550804,454947,981610,X,X
부산,2993116,800815,147690,X,X
대구,795881,735130,60752,-,795881
인천,17921528,4710886,107893,13102749,4818779
광주,387182,342292,44890,-,387182
대전,578692,404821,173871,-,578692
울산,11800069,9838569,18705,X,X
세종,654615,150065,X,X,X
경기,11629215,9141514,449311,2038389,9590826
강원,4720757,2725130,102205,1893422,2827335
충북,2637086,2603106,33980,-,2637086
충남,41881226,16796338,49317,25035571,16845655
전북,3354212,2516218,35742,X,X
전남,24472807,22610293,X,1853327,22619480
경북,12367713,11802395,39443,525875,11841838
경남,15257463,1712670,44611,13500181,1757282
제주,575564,9304,18207,548054,27510
