지역,총계,산업,건물,수송,발전,계(발전제외)
계,156068140,89990319,2491878,3241970,60343974,95724167
서울,2618653,401735,1043136,1106552,X,X
부산,2296291,732144,155880,341589,1066678,1229613
대구,1272745,1097844,65552,109350,-,1272745
인천,16809442,4203764,118428,111547,12375703,4433739
광주,446765,352994,44634,49136,-,446765
대전,964900,389129,175366,400405,-,964900
울산,11633572,9897835,19406,47954,X,X
세종,667899,152759,9016,-,X,X
경기,15321567,11831621,488677,600285,2400985,12920582
강원,4327134,2710930,104424,36199,1475581,2851553
충북,2859920,2767809,43919,48192,-,2859920
충남,40335652,16125777,47495,25259,24137120,16198532
전북,3204958,2590123,39772,76485,X,X
전남,25049474,23249907,13115,56416,1730036,23319438
경북,12316209,11704788,50349,62396,498676,11817533
경남,15352034,1768756,54607,83777,13444893,1907141
제주,590925,12405,18101,86426,473993,116932
