용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,477591701,45018862,19980898,14858786,22578048,8197276,9102524,30115124,2437032,102180707,15778145,22179261,47294961,22297413,31722944,46016364,33435157,4220090,178108
가정용,62675313,12892129,4309603,2973764,3596277,1841416,1826425,1419552,192589,15291673,1868276,1891278,2423744,2236213,2163133,3118273,3983189,647664,115
공공용,21669250,3577029,1167560,720034,885272,490832,996964,420002,192574,5137297,1234181,1140218,992261,905035,854225,1411809,1294726,246012,3219
서비스업,128629517,26463097,7141257,5137239,6175099,2985154,3640153,3392090,465186,29681236,5766094,4354886,6258873,4537971,4969124,7824164,7973643,1854989,9262
농림어업,13556459,13361,95473,63345,114712,71219,26491,79596,65955,2140966,507427,605989,1628947,1120214,2544135,1440916,1784500,1253213,0
광업,1570929,2703,22702,4113,73523,2302,2281,19389,19669,244570,364636,113110,274278,70214,60894,214434,75692,6217,202
제조업,249490234,2070544,7244302,5960292,11733166,2806354,2610211,24784494,1501059,49684965,6037531,14073780,35716859,13427765,21131433,32006769,18323406,211994,165310
