용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,526149160,47810210,21216605,15675749,24921926,8773811,9648827,33748169,3087693,122695954,16845836,26239895,52012705,22961959,34118388,45958814,35158610,5272604,1405
가정용,70687230,13766796,4660700,3314918,4112199,2056435,1970225,1552259,470529,18016468,2060399,2184846,2897959,2431432,2380293,3498309,4482335,831090,38
공공용,24568575,3718778,1345988,863982,951152,577510,1031276,506777,317409,5763235,1496466,1301822,1135633,1132037,995476,1648637,1465601,315891,905
서비스업,149983025,28584165,7736225,5675069,7820525,3293830,4107000,3982738,716973,36852914,6439502,5384580,7643615,5258501,5936592,9019634,9097115,2433585,462
농림어업,17126089,15917,121838,71615,149307,76172,31998,83071,78781,2542274,659119,805162,2112522,1528635,3268746,1896131,2250820,1433981,-
광업,1478380,2609,20964,5778,44716,1715,884,16310,13123,282987,390573,117622,168165,62903,65946,208318,71211,4556,-
제조업,262305861,1721945,7330890,5744387,11844027,2768149,2507444,27607014,1490878,59238076,5799777,16445863,38054811,12548451,21471335,29687785,17791528,253501,-
