용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,547932742,48788677,21493648,16039260,25506864,9116871,10016877,32919181,3182079,140531012,17325520,29412227,50259638,21838474,34665105,44601033,36190920,6045356,-
가정용,78557569,14550103,5054430,3580477,4704964,2249750,2142124,1648161,645445,21128150,2332245,2434713,3250542,2597581,2606963,3763344,4863308,1005271,-
공공용,26218458,3731551,1318967,896890,1061842,596484,1196638,540143,369610,6148678,1562036,1414053,1205339,1117563,1384767,1790827,1522501,360568,-
서비스업,155219784,28974161,7934443,5850911,8047040,3388222,4281816,3481349,290326,40545794,6626692,5613790,7707805,5313085,5915581,9033740,9371342,2843687,-
농림어업,19285373,19956,112183,85684,165992,87214,39500,92980,91637,2803262,791361,956883,2389068,1784102,3636671,2295285,2414495,1519101,-
광업,1758985,2004,20393,16922,86695,3438,1175,13921,11588,261890,445375,124485,339103,66663,76732,219137,61534,7929,-
제조업,266892573,1510903,7053232,5608376,11440330,2791763,2355623,27142626,1773473,69643238,5567812,18868303,35367782,10959480,21044390,27498700,17957740,308801,-
