용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,533430811,47295807,21067833,15443949,24901194,8973447,9748621,33593123,4295363,133445948,16808006,28402063,48801626,21486861,33486886,44258297,35734059,5687730,-
가정용,77558386,14656127,4974889,3461331,4586787,2215918,2102655,1638730,612111,20775255,2289719,2385627,3184715,2588903,2578822,3709248,4826057,971492,-
공공용,25025912,3575378,1280159,866403,943788,568578,1107741,505195,342947,5941474,1478686,1360538,1121942,1082470,1373405,1706260,1437292,333656,-
서비스업,148181597,27499011,7507103,5562421,7572381,3272320,4112045,3497844,1520211,37299472,6398541,5365193,7230648,5146076,5739917,8788905,9042660,2626848,-
농림어업,18496161,19189,110847,79759,166780,76903,37039,90321,90952,2712094,783547,920412,2291760,1704721,3461170,2135822,2369741,1445104,-
광업,1806892,1902,19576,15128,87829,3490,877,15117,11510,271724,452010,128817,341587,69757,82528,228781,68712,7547,-
제조업,262361863,1544200,7175259,5458907,11543628,2836237,2388264,27845916,1717632,66445929,5405503,18241476,34630974,10894934,20251044,27689281,17989597,303083,-
