용도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
합계,497038904,46493234,20467093,15268114,23875857,8558369,9379633,32095217,2801866,109403901,16498768,24008863,48453931,22733495,33096902,44647503,34497477,4738201,20478
가정용,66173065,13311577,4472262,3143661,3819581,1948144,1899110,1488489,333148,16311036,1928362,2011175,2629227,2340425,2281952,3293587,4226226,735092,11
공공용,22908419,3665453,1220802,779742,891181,549136,945572,450158,274841,5337048,1338782,1204239,1065147,1057537,930548,1522577,1388559,286688,408
서비스업,137982086,27585977,7539824,5368813,6846858,3115344,3935470,3843139,590633,32219335,6179523,4652918,7167562,4814017,5422859,8140209,8416652,2141850,1105
농림어업,15396810,14684,106631,68684,142255,74005,27562,76079,79228,2338988,577378,709252,1875034,1384058,2881301,1662500,2050330,1328839,-
광업,1754503,3594,23195,4703,92925,2280,2113,21516,20193,299012,401251,129606,292888,69160,68567,229232,87007,7239,21
제조업,252824020,1911951,7104377,5902508,12083058,2869458,2569807,26215841,1503823,52898480,6073473,15301673,35424074,13068299,21511674,29799399,18328702,238493,18932
