에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),350881,237439,179157,387826,73199,113837,1343421,65440,1634364,1237810,806869,2231254,1158329,3229557,2345138,679023,374842,18054339
① 재생에너지 합,281192,198505,170258,362574,72653,113751,1338989,65440,1501523,1237768,806807,1951392,1158140,3206710,2341744,678934,374842,17315508
② 신에너지 합,69689,38933,8899,25253,547,86,4432,0,132842,42,62,279861,189,22847,3394,89,0,738831
신·재생에너지 지역별 공급비중 (%),2.13,1.44,1.09,2.36,0.45,0.69,8.17,0.40,9.94,7.53,4.91,13.57,7.04,19.63,14.26,4.13,2.28,100.00
태양열 (toe),836,935,1106,724,686,827,413,132,3089,3247,1242,2601,1309,2777,3757,4002,437,27395
태양광 (toe),23664,25456,16669,18643,28783,9531,8602,8611,87323,82657,78129,177876,257182,359811,179136,117552,36724,2193980
풍력 (toe),46,87,6,11042,0,92,489,0,1207,136917,4,634,4928,65397,109789,16905,114619,525188
수력 (toe),258,13,1146,9619,1937,127,199,1391,117182,174668,140855,16908,36695,14266,45379,39508,541,718787
해양 (toe),0,0,0,0,0,0,0,0,104256,0,0,0,0,0,0,0,0,103380
지열 (toe),11270,2328,5927,5544,3403,3857,3460,10305,39759,15605,8777,14133,19041,14542,11815,12515,1642,205464
수열 (toe),0,23,0,95,0,0,0,0,0,135,0,713,253,4143,102,1292,1184,14725
바이오 (toe),77003,42701,81695,166852,29256,35751,357375,23832,344244,393537,136060,542050,643178,109595,140595,272057,203002,4442376
폐기물 (toe),168115,126961,63708,150055,8587,63566,968451,21170,804462,431003,441741,1196477,195553,2636180,1851171,215103,16694,9084212
연료전지 (toe),69689,38933,8899,25253,547,86,4432,0,132842,42,62,6000,189,22847,3394,89,0,376304
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362527
