계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,전체(시도),전체(시 / 군 / 구),주택용,"15,722,834 ","7,090,173,827 ","844,380,211,766 ",119.1 
202201,전체(시도),전체(시 / 군 / 구),일반용,"3,371,549 ","11,512,751,875 ","1,544,429,047,836 ",134.1 
202201,전체(시도),전체(시 / 군 / 구),교육용,"20,979 ","1,017,191,758 ","99,612,441,490 ",97.9 
202201,전체(시도),전체(시 / 군 / 구),산업용,"434,008 ","26,055,932,505 ","2,963,785,752,488 ",113.7 
202201,전체(시도),전체(시 / 군 / 구),농사용,"1,965,374 ","2,150,437,435 ","103,625,153,299 ",48.2 
202201,전체(시도),전체(시 / 군 / 구),가로등,"2,211,147 ","328,428,937 ","35,483,008,531 ",108.0 
202201,전체(시도),전체(시 / 군 / 구),심 야,"720,773 ","1,614,408,263 ","121,628,072,818 ",75.3 
202202,전체(시도),전체(시 / 군 / 구),주택용,"15,726,112 ","7,057,860,246 ","839,358,793,865 ",118.9 
202202,전체(시도),전체(시 / 군 / 구),일반용,"3,377,701 ","11,727,085,024 ","1,544,925,640,263 ",131.7 
202202,전체(시도),전체(시 / 군 / 구),교육용,"20,994 ","868,033,523 ","88,001,934,868 ",101.4 
202202,전체(시도),전체(시 / 군 / 구),산업용,"434,258 ","23,723,435,705 ","2,738,855,015,088 ",115.4 
202202,전체(시도),전체(시 / 군 / 구),농사용,"1,965,816 ","2,174,735,482 ","104,691,205,231 ",48.1 
202202,전체(시도),전체(시 / 군 / 구),가로등,"2,215,006 ","309,772,922 ","35,056,613,112 ",113.2 
202202,전체(시도),전체(시 / 군 / 구),심 야,"718,552 ","1,648,977,878 ","124,191,568,950 ",75.3 
202203,전체(시도),전체(시 / 군 / 구),주택용,"15,732,886 ","6,220,923,257 ","680,099,476,219 ",109.3 
202203,전체(시도),전체(시 / 군 / 구),일반용,"3,383,332 ","10,159,711,747 ","1,245,562,716,954 ",122.6 
202203,전체(시도),전체(시 / 군 / 구),교육용,"20,990 ","827,937,730 ","81,540,131,875 ",98.5 
202203,전체(시도),전체(시 / 군 / 구),산업용,"434,351 ","25,158,208,399 ","2,393,903,347,239 ",95.2 
202203,전체(시도),전체(시 / 군 / 구),농사용,"2,516,791 ","1,866,231,146 ","91,025,026,552 ",48.8 
202203,전체(시도),전체(시 / 군 / 구),가로등,"2,218,410 ","286,150,830 ","32,706,665,831 ",114.3 
202203,전체(시도),전체(시 / 군 / 구),심 야,"716,771 ","1,288,730,539 ","86,211,989,750 ",66.9 
202204,전체(시도),전체(시 / 군 / 구),주택용,"15,742,791 ","6,283,604,885 ","709,594,420,602 ",112.9 
202204,전체(시도),전체(시 / 군 / 구),일반용,"3,393,134 ","9,384,760,662 ","1,120,291,949,363 ",119.4 
202204,전체(시도),전체(시 / 군 / 구),교육용,"20,964 ","710,139,125 ","67,934,131,707 ",95.7 
202204,전체(시도),전체(시 / 군 / 구),산업용,"434,819 ","24,442,883,834 ","2,460,345,307,531 ",100.7 
202204,전체(시도),전체(시 / 군 / 구),농사용,"2,064,880 ","1,650,039,590 ","86,195,746,367 ",52.2 
202204,전체(시도),전체(시 / 군 / 구),가로등,"2,237,674 ","282,222,622 ","34,231,405,382 ",121.3 
202204,전체(시도),전체(시 / 군 / 구),심 야,"715,094 ","977,586,159 ","56,625,615,425 ",57.9 
202205,전체(시도),전체(시 / 군 / 구),주택용,"15,746,553 ","5,777,622,883 ","647,920,590,982 ",112.1 
