"용도별(1)",용도별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"용도별(1)",용도별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
"제조업",섬유 의복,12723373,516170,613058,1325169,114388,319034,45426,1063263,16972,2285536,10570,402341,440894,698339,119758,4303745,384447,1219,63044,12428656,511595,605678,1291907,107328,318928,44581,1030273,72894,2226111,12410,405861,377096,793764,123227,4094785,377365,1294,33559,11965254,494311,559687,1235868,88592,317248,41653,979710,74428,2101197,11575,407253,363123,788774,141168,3925426,364838,1197,69206,11604490,494454,544803,1139347,75610,322000,43412,992870,73993,2063141,12402,393696,311320,812727,146351,3753969,347479,1182,75734,11425575,509844,537561,1108447,77205,308617,44281,968550,75639,2104730,13250,350549,269725,777728,158529,3764806,347441,1151,7524,11260607,497699,528513,1057342,75895,295922,41687,943299,70617,2109963,13027,333846,269998,731651,160506,3780171,346974,3497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",목재 나무,1771975,5430,64533,18330,642429,6239,7893,14515,1729,489731,15188,35271,40155,272640,23934,67583,65234,1141,0,1858882,5080,60009,19270,620569,5768,9883,15095,6439,532361,15450,40761,86512,280525,24470,70446,65106,1138,0,1927731,4288,55696,17116,632866,5964,10086,14721,5110,534860,16656,48510,131999,288786,25728,69599,64602,1144,0,1903958,4460,54870,15956,635370,6299,10080,14281,1624,527824,18438,51720,131316,274035,26174,66717,63566,1228,0,1917895,4351,54228,15916,644686,6064,4478,13421,1393,538295,19039,50726,131010,274701,26791,70680,60612,1504,-,1925029,4399,51980,16215,639429,6782,4311,12286,1324,529274,19147,51682,134109,291729,27998,72680,60160,1524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",펄프 종이,8513142,37118,26596,434094,56935,30152,579240,640025,83500,1924251,27284,1010573,899639,1411677,313406,305496,706484,18309,8363,8689559,37446,27393,443535,55850,31003,580386,650356,345629,1935883,26343,843718,794953,1418780,317065,306859,849068,20440,4852,8547864,36901,25015,426168,55723,30951,576023,621349,338085,1859121,24814,854073,793968,1413572,305032,309299,850281,19583,7906,8521617,39135,25071,410334,55950,37986,577350,616237,351564,1871310,21970,847104,807825,1303163,315523,357586,856133,19115,8261,8615101,42941,25880,428370,58092,41467,548247,635512,356394,1870281,23602,888072,814073,1349266,321116,368699,823178,19067,844,8386401,43281,27240,445646,57159,41827,539332,620457,350896,1917458,24382,880020,809760,1282937,145685,361772,817685,20864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",출판 인쇄,1537845,375164,47270,37847,65196,21489,19509,3474,434,784643,8973,25933,37720,19652,5620,42974,33315,2417,6215,1480561,354896,42386,41209,68024,20294,18144,3281,1990,748021,8239,25697,37794,17783,10565,46531,30171,2451,3085,1432506,332024,37954,43189,67650,18836,17313,2999,2038,730132,7728,26185,40750,13878,11293,45759,27148,2123,5507,1410969,315896,35015,43509,66481,20852,16326,3117,2516,726295,7154,23632,44260,13449,11037,44952,28169,2113,6196,1398619,311975,34301,46059,68965,22430,15727,3063,2751,716775,7282,22088,48970,13659,7131,44757,29683,2317,686,1397293,296772,33000,46804,71120,22038,14802,3325,2998,731348,7727,23940,50869,10512,6714,44402,28486,2436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",석유 화학,50539523,134783,442201,349567,1477487,416040,635722,12904701,46519,5902989,144004,1968782,6289898,3904009,10303458,3242053,2358660,12964,5686,52112319,122725,447533,353975,1463718,393840,617169,13209533,193743,6160065,144560,2023299,6675671,3812269,11086761,3027224,2365490,10958,3786,54992166,119279,447804,362211,1757831,385448,593251,13715312,209742,6151077,155258,2152650,7435769,4438986,12324222,2961813,1761949,13461,6103,55660379,115136,446774,390176,2011646,381875,594657,13592197,224023,6304883,155434,2148503,7352045,4174529,12795990,3232753,1719501,15044,5213,58483202,180145,442666,409916,1963474,394338,623711,14810683,243184,6579585,165493,2228843,7443547,4574459,13174201,3432961,1799001,16421,570,60469126,286957,438833,418485,2039737,391151,630776,14870740,261583,6881775,175323,2350133,7787274,4452120,13945376,3653665,1865583,19615,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",요업,10927943,35971,97123,63621,185608,22742,42851,245813,82252,1295536,3342452,2011064,948504,556762,550324,978667,447965,19563,1125,11236441,35312,85152,59760,170952,20222,39435,233770,329351,1332819,3300312,2076544,810738,555121,562068,1156074,447103,20993,715,11642680,35440,71257,59745,166103,21294,36244,204044,351763,1461240,3413324,2210504,823354,542889,539705,1256116,429161,19313,1184,12022644,34262,73305,61656,172615,21560,45678,202468,336860,1581895,3504531,2321019,857455,544985,567681,1248170,425817,21259,1428,12575440,31505,75080,65287,189695,23018,50190,182931,316587,1665158,3744457,2493113,907359,596502,573029,1214171,424389,22807,164,12612249,26940,77770,68138,182027,20727,53481,183983,305849,1728378,3695796,2431827,914756,614012,586208,1269917,429918,22522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",1차금속,45675836,35896,2473960,291807,3802357,74103,83523,4125555,5768,1853739,1597656,422551,8675600,1964158,5181021,11792252,3286250,462,9178,46466614,29298,2336720,300441,2140298,71673,70234,4205218,22929,1929144,1501965,428958,9704300,2038371,6034638,12353535,3293300,514,5078,48790671,29215,2304766,303860,2000267,73127,56980,4171793,24748,1949373,1484402,442163,10556535,2183324,6106671,13275549,3819242,598,8058,46191526,28762,2160105,296803,2047014,72819,52111,4408008,26163,1915672,1545072,446339,9301698,1984403,6075259,12040196,3781878,727,8497,45004788,23944,2167251,318951,2100917,74497,57662,4803598,26009,1991480,1116385,461721,9598797,1975919,5568202,10973129,3744411,973,943,45329276,17236,2426693,317580,2346232,75702,56535,4671005,32345,2020196,1038913,469546,9976454,2158438,5036891,10874970,3809547,993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",조립금속,8322460,68757,688530,562311,764509,143984,101805,288350,5436,2070485,41125,556767,406504,93121,120639,698091,1691709,1705,18632,8479274,66930,666987,570358,767058,144623,93793,318072,13729,2123507,43484,589708,393725,110664,112669,773000,1678052,1913,11002,8613089,63974,674435,592137,751884,141422,93006,342881,13049,2126298,42315,618146,399858,114421,119228,792950,1707167,2286,17632,8723717,61558,696571,615728,742382,139810,86112,365690,12619,2130832,44108,656341,452526,116170,131057,760447,1691776,2703,17287,9037399,63433,718849,625083,736179,143194,79605,401555,12604,2184649,41821,702551,513282,124671,128425,904541,1651977,3165,1814,9523400,64682,872952,661307,750654,156396,69342,393469,11390,2302355,39477,738699,565003,137635,123651,933178,1699879,3331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타기계,13554602,201179,879476,482253,917378,412856,112201,156655,50761,6042998,31095,270517,771099,531841,129551,684621,1865072,686,14363,14262025,194050,866860,513963,936171,407886,112227,155232,204708,6593588,32979,289059,663355,545219,136319,731670,1868720,799,9220,14960419,181621,880735,527252,935271,384178,108618,169006,197799,7138308,35635,320202,689097,479445,153515,800970,1944933,733,13101,15750982,174971,896623,521443,1002356,405394,107734,171079,192435,7983360,44904,331939,689500,363030,112169,821770,1917053,905,14317,10096754,171729,850059,510313,900644,177443,72182,163592,22391,3448575,29997,361567,557209,157323,65225,744486,1861373,961,1684,10539702,163688,904149,516493,942801,198847,77970,169132,26185,3613798,35063,366871,611925,159699,66431,782570,1902913,1167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",사무기기,928898,5754,966,33816,20497,3908,9242,454489,5009,278338,623,69483,13749,6921,536,18282,5445,0,1840,887412,5964,1313,37706,18227,4129,7701,420129,18114,287965,1236,43173,11476,6935,528,16527,5593,0,696,699379,5402,2012,40973,13434,3742,6533,237127,18913,295853,1118,33564,9575,6662,503,16606,5576,0,1786,441026,5392,2768,40958,9154,3353,4538,4621,17588,274225,927,36994,12129,6672,551,13941,5261,0,1954,453424,4983,3537,45415,9660,4673,2928,4509,14940,291569,989,30266,14466,6347,486,13021,5410,-,225,489281,4395,4913,58446,7853,5967,2949,5053,14319,317244,2019,23076,12208,7240,1061,14468,8070,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
