계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 07 월 ~ 2022년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202212,충청남도,전체,교육용,"1,126 ","58,021,512 ","6,878,112,374 ",118.5 
202212,충청남도,전체,농사용,"222,494 ","208,598,797 ","14,488,287,127 ",69.5 
202212,충청남도,전체,산업용,"23,612 ","3,147,471,612 ","445,813,290,291 ",141.6 
202212,충청남도,전체,심 야,"81,295 ","133,729,083 ","12,695,558,482 ",94.9 
202212,충청남도,전체,일반용,"185,327 ","481,028,903 ","72,873,996,100 ",151.5 
202212,충청남도,전체,주택용,"823,047 ","274,829,618 ","36,601,337,776 ",133.2 
202212,충청남도,전체,합계,"1,511,149 ","4,320,468,350 ","591,425,980,593 ",136.9 
202212,충청북도,전체,가로등,"118,698 ","16,796,711 ","2,060,847,096 ",122.7 
202212,충청북도,전체,교육용,783 ,"39,169,649 ","4,579,274,031 ",116.9 
202212,충청북도,전체,농사용,"150,734 ","84,706,685 ","5,996,604,538 ",70.8 
202212,충청북도,전체,산업용,"18,674 ","1,751,441,519 ","249,845,393,427 ",142.7 
202212,충청북도,전체,심 야,"82,304 ","127,895,526 ","11,878,350,395 ",92.9 
202212,충청북도,전체,일반용,"136,623 ","357,582,051 ","56,987,439,746 ",159.4 
202212,충청북도,전체,주택용,"644,198 ","206,923,351 ","27,549,440,910 ",133.1 
202212,충청북도,전체,합계,"1,152,014 ","2,584,515,492 ","358,897,350,143 ",138.9 
