지역,총계,산업,건물,수송,발전,계(발전제외)
계,154943952,98743839,2823334,2777892,50598888,104345064
서울,X,348806,1047532,941563,X,2337902
부산,2435787,736492,188083,333798,1177414,1258374
대구,1099122,952094,76886,70141,-,1099122
인천,14231935,4708752,146973,121324,9254886,4977049
광주,386334,317597,40917,27820,-,386334
대전,905867,380113,190112,335642,-,905867
울산,12871197,11452081,25187,43543,1350386,11520810
세종,X,167949,12032,-,X,179980
경기,19411964,16724962,668890,475177,1542935,17869029
강원,7667671,4522113,110581,32544,3002434,4665238
충북,3276264,3175934,48919,51411,-,3276264
충남,39285683,16834721,43198,35013,22372751,16912932
전북,3320002,2871501,38365,46821,363314,2956687
전남,24500001,22481880,24146,74994,1918982,22581019
경북,12102220,11476949,54722,71605,498944,11603276
경남,8971442,1575680,82444,83915,7229404,1742039
제주,413364,16215,24347,32581,340222,73142
