지역,건물,수송,발전,계(발전제외),총계,산업
계,2718273,3564704,62842770,98939169,163279779,97572773
서울,1100127,1114554,X,2550859,2569371,335492
부산,188650,455798,1275844,1400838,2410981,811740
대구,72163,116408,-,1331104,1261012,1057100
인천,133648,136914,12412138,4460059,15515030,3990587
광주,45986,48036,-,434046,436038,344712
대전,186566,398814,-,986728,1005900,408571
울산,20391,48144,X,10245364,12085644,10505312
세종,10757,-,X,161901,707323,149940
경기,542125,608811,2818597,13761237,17398695,14639928
강원,114209,48601,1800558,3098547,7590760,4130954
충북,49194,55350,-,3058978,3030615,2920690
충남,56663,40912,24047690,16654225,42335153,17615444
전북,38881,99607,X,3579415,3708974,3339371
전남,13782,73308,2606546,23098750,26274480,23878885
경북,61981,87454,578984,12007238,12156146,11638519
경남,63891,103645,13458960,1951470,14237617,1792766
제주,19259,128349,440979,158411,556041,12765
