에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),303099,189363,149874,489348,97865,90625,493628,73803,1554853,1306481,720895,1764287,1760693,1225665,925025,651123,581437,14000317
① 재생에너지 합,230350,150083,148164,286243,97126,83484,490626,65338,1292205,1296002,720753,1160278,1758844,1189846,918136,646925,581394,12510554
② 신에너지 합,72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,604009,1850,35819,6890,4198,44,1489762
신·재생에너지 지역별 공급비중 (%),2.45,1.53,1.21,3.95,0.79,0.73,3.99,0.60,12.56,10.55,5.82,14.25,14.22,9.90,7.47,5.26,4.70,100.00
태양열 (toe),621,732,837,616,568,616,331,116,2433,2848,1290,2288,1248,3074,4163,3931,336,25568
태양광 (toe),51584,49938,37493,42122,63325,20566,27380,18649,314446,302800,241466,531816,694095,850720,497421,315560,105775,5317227
풍력 (toe),47,56,6,11255,0,91,323,0,1202,166671,6,640,27948,122787,201093,15828,123154,677507
수력 (toe),237,21,2759,8431,1660,55,310,0,138452,226264,215136,13122,60872,24308,67950,66040,728,651227
해양 (toe),0,0,0,0,0,0,0,0,97396,0,0,0,0,0,0,0,1,96911
지열 (toe),16451,2980,7441,8483,3753,5281,4196,14910,52494,19691,12166,20659,21015,17203,17327,15113,1771,255590
수열 (toe),0,46,0,157,0,0,0,0,8,661,5,1814,804,13564,587,4159,1844,24756
바이오 (toe),91892,57336,77835,166108,25826,28511,372251,24117,444247,397513,97780,543873,900217,73455,94521,169316,334375,4263576
폐기물 (toe),69519,38974,21793,49071,1992,28363,85835,7547,241528,179556,152904,46066,52645,84735,35074,56979,13411,1198193
연료전지 (toe),72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,97628,1850,35819,6890,4198,44,1023132
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,506381,0,0,0,0,0,466631
