지역,총계,산업,건물,수송,발전,계(발전제외)
계,163279779,97572773,2764699,3491754,59450553,103829226
서울,2569371,335492,1089089,1069391,X,2493972
부산,2410981,811740,181131,446846,971264,1439717
대구,1261012,1057100,80761,123151,-,1261012
인천,15515030,3990587,142337,132990,11249115,4265914
광주,436038,344712,44746,46579,-,436038
대전,1005900,408571,187582,409748,-,1005900
울산,12085644,10505312,23514,40781,1516037,10569607
세종,707323,149940,10334,-,X,160274
경기,17398695,14639928,578934,602492,1577341,15821354
강원,7590760,4130954,115054,60052,3284699,4306061
충북,3030615,2920690,54643,55283,-,3030615
충남,42335153,17615444,51532,43167,24625011,17710142
전북,3708974,3339371,40074,103207,X,3482652
전남,26274480,23878885,17531,82782,2295283,23979197
경북,12156146,11638519,62656,81350,373621,11782525
경남,14237617,1792766,65054,100186,12279611,1958006
제주,556041,12765,19726,93749,429801,126240
