발전소명,위도,경도,소속사,발전종류 대분류,발전종류 소분류
아산배방열병합,36.800085,127.09386,토지주택공사,집단,LNG
안산열병합,37.295702,126.794972,안산도시개발,집단,LNG
안양열병합,37.393845,126.966884,GS POWER,집단,LNG
양주열병합,37.834518,127.100578,대륜발전,집단,LNG
위례열병합,37.481757,127.152658,위례에너지서비스,집단,LNG
인천공항열병합,37.494626,126.475615,인천공항에너지,집단,LNG
춘천열병합,37.766117,127.77397,춘천에너지,집단,LNG
파주열병합,37.736552,126.719754,지역난방공사,집단,LNG
판교열병합,37.393961,127.10319,지역난방공사,집단,LNG
하남열병합,37.551767,127.186421,나래에너비서비스,집단,LNG
화성열병합,37.219274,127.081247,지역난방공사,집단,LNG
여천 NCC,34.81752,127.674482,여천 NCC,집단,기타
대전열병합,36.434821,127.403751,대전열병합발전,집단,기타
SGC에너지,35.977469,126.640623,SGC 에너지,집단,기타
제주내연,33.533551,126.593443,중부발전,내연력,내연력
원주그린,37.3732,127.8903,중부발전,기타,기타
