지역,총계,산업,건물,수송,발전,계(발전제외)
계,169560784,102717626,2896771,3337950,57905991,110249196
서울,X,368815,1095943,1171170,X,2597558
부산,2855285,830322,171133,391475,1104665,1335277
대구,1253583,1056182,80638,107990,-,1254363
인천,15735772,4355896,157974,144630,9997003,4885140
광주,424060,334776,43408,32242,-,395984
대전,978717,405152,189769,369509,-,944966
울산,13654384,11693667,23790,41239,1369915,12285087
세종,X,154448,10972,-,X,177507
경기,19710579,16621354,656203,570093,1909028,18322004
강원,9699068,5030380,130300,52830,4087464,4963328
충북,3024003,2911602,52458,69648,-,3164568
충남,41983514,17987200,50554,46306,24872389,18485945
전북,X,3183620,40739,50466,X,3169735
전남,26490564,24263435,21916,76514,2243831,24312936
경북,12538749,11853913,61516,89057,459548,12081181
경남,13572539,1654082,83087,96090,10358608,1796414
제주,426181,12782,26369,28692,367400,77202
