에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),238239,116954,141952,291540,58771,48475,1126081,36676,1370155,1064857,667341,936507,539372,1456792,1258441,446439,80616,11537365
① 재생에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11337996
② 신에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199369
신·재생에너지 지역별 공급비중 (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
태양열 (toe),1076,1068,1395,844,751,951,436,12,3632,3406,1222,2812,1254,2195,2786,3533,440,28485
태양광 (toe),7011,11785,4419,4879,5583,2755,2159,97,17731,10824,13801,22824,58677,92308,51841,32957,4799,547430
풍력 (toe),41,102,3,9185,0,81,558,0,1186,98752,3,5,2851,5534,70336,1557,52158,241847
수력 (toe),0,72,3686,5671,717,0,347,0,211977,230977,211844,22701,44257,27086,56828,75975,94,581186
해양 (toe),0,0,0,0,0,0,0,0,102077,0,0,0,0,0,0,0,0,103848
지열 (toe),6191,1140,2336,2293,2252,1774,848,249,21470,7906,3825,8019,8318,7977,4738,6487,1134,108472
수열 (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바이오 (toe),46236,18240,55051,158877,14437,8099,506379,1453,123015,46803,26264,79575,139881,133549,55469,141042,4123,2821995
폐기물 (toe),172422,74555,62800,108068,34442,34765,613295,34865,826427,666132,410375,796167,281046,1172069,1012245,184875,17867,6904733
연료전지 (toe),5263,9992,12261,1723,589,50,2059,0,62640,56,6,4404,3089,16074,4197,13,0,199369
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
