에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),335139,145572,182520,628330,67589,66705,698215,61940,1402763,1105800,441035,1579335,555104,3059991,1888628,706898,367424,14178408
① 재생에너지 합,298174,140254,172794,609805,67066,66658,693351,61940,1274755,1105757,441031,1573341,552573,3044508,1885217,706884,367424,13860689
② 신에너지 합,36965,5318,9726,18525,522,47,4864,0,128009,44,5,5995,2531,15483,3411,14,0,317720
신·재생에너지 지역별 공급비중 (%),2.52,1.10,1.37,4.73,0.51,0.50,5.25,0.47,10.55,8.32,3.32,11.88,4.18,23.02,14.21,5.32,2.76,100.00
태양열 (toe),976,1026,1262,806,734,936,437,103,3260,3358,1272,2755,1287,2489,3426,3880,462,28495
태양광 (toe),16676,19550,10829,11229,18392,6317,4861,4841,50654,40410,36518,78230,153523,215645,90121,71586,19996,1092832
풍력 (toe),43,107,6,10946,0,86,444,0,1206,83855,4,6,3460,33870,69792,6108,73522,355340
수력 (toe),301,13,3058,8642,1280,127,376,2112,78703,85373,75784,20469,48396,23652,44877,60378,246,603244
해양 (toe),0,0,0,0,0,0,0,0,104731,0,0,0,0,0,0,0,0,104562
지열 (toe),8790,1495,4564,3892,3015,2537,2661,5615,29830,11041,5634,10008,15077,11547,8100,9710,1531,162047
수열 (toe),0,0,0,12,0,0,0,0,0,106,0,129,83,2319,67,928,1146,5989
바이오 (toe),94097,41199,90261,440688,21341,20824,292787,3211,295169,159357,49058,366255,152083,98746,68560,319036,252987,2765453
폐기물 (toe),177290,76864,62816,133591,22305,35831,391785,46059,711202,722257,272761,1095488,178664,2656239,1600274,235257,17534,8742726
연료전지 (toe),36965,5318,9726,18525,522,47,4864,0,128009,44,5,4710,2531,15483,3411,14,0,241616
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
